city,sickCount,actualSick,verifiedLast7Days,testLast7Days,status,lastUpdate,date
ערערה,90,45,6-10,254,23,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נוף הגליל,86,45,11-14,411,10,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שדרות,133,44,11-14,287,16,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ג'ת,110,44,11-14,239,36,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
חורה,263,41,1-5,62,23,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בנימינה-גבעת עדה,54,40,6-10,194,28,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מבשרת ציון,78,39,11-14,272,17,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קדימה-צורן,68,36,11-14,179,17,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
טמרה,71,35,6-10,284,10,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שפרעם,64,34,11-14,671,8,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
יבנאל,98,33,6-10,48,79,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כרמיאל,97,31,11-14,433,7,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שלומי,44,30,11-14,124,45,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מגדל העמק,140,30,6-10,189,12,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נחף,68,30,0,99,22,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר יונה,59,27,6-10,265,12,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
יקנעם עילית,49,26,11-14,181,11,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
חריש,54,25,6-10,167,17,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
סח'נין,47,24,6-10,307,7,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קרית יערים,107,23,6-10,86,37,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אלפי מנשה,41,23,1-5,70,29,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ריינה,23,23,1-5,133,14,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אעבלין,27,22,6-10,156,17,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מג'ד אל-כרום,48,22,6-10,125,14,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אבו גוש,25,21,6-10,204,26,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
יד בנימין,38,19,1-5,29,44,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נשר,32,19,1-5,323,9,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שערי תקווה,27,19,6-10,60,34,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
צור הדסה,36,19,6-10,133,20,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עראבה,32,18,6-10,346,7,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
לקיה,42,18,1-5,171,12,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ראמה,26,18,1-5,49,22,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כוכב יעקב,103,18,6-10,72,20,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
תל שבע,25,17,1-5,85,8,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
"בני עי""ש",28,17,1-5,59,25,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אפרת,95,17,1-5,119,15,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
הושעיה,21,17,1-5,25,83,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קרית עקרון,35,16,1-5,91,15,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מעלות-תרשיחא,35,16,6-10,315,7,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עומר,40,16,1-5,90,20,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
סביון,34,16,1-5,59,37,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
חצור הגלילית,24,16,1-5,57,16,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אריאל,51,16,1-5,191,9,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קרית טבעון,27,15,1-5,108,9,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כאבול,25,15,1-5,88,12,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
טלמון,23,15,1-5,63,31,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בת חפר,18,15,1-5,61,29,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אלקנה,25,15,1-5,58,40,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
להבים,38, קטן מ-15 ,0,45,21,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עין נקובא,15, קטן מ-15 ,1-5,44,40,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עמנואל,43, קטן מ-15 ,1-5,24,33,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אבן יהודה,62, קטן מ-15 ,1-5,349,9,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בית דגן,41, קטן מ-15 ,1-5,72,20,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עפרה,28, קטן מ-15 ,1-5,31,46,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מגאר,28, קטן מ-15 ,1-5,178,6,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אורנית,22, קטן מ-15 ,1-5,90,14,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עתלית,28, קטן מ-15 ,1-5,40,14,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קיסריה,20, קטן מ-15 ,1-5,63,26,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קרית ארבע,27, קטן מ-15 ,1-5,75,18,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מצפה רמון,40, קטן מ-15 ,1-5,89,20,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מיתר,39, קטן מ-15 ,1-5,165,12,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בית אל,33, קטן מ-15 ,1-5,49,21,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כוכב יאיר,31, קטן מ-15 ,1-5,85,13,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
פרדסיה,17, קטן מ-15 ,1-5,120,20,"נדרשת הידברות, הסברה ואכיפה",2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
פדואל, קטן מ-15 , קטן מ-15 ,0,16,14,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מרכז שפירא,29, קטן מ-15 ,1-5,33,43,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
פסוטה, קטן מ-15 , קטן מ-15 ,0,23,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
צופים, קטן מ-15 , קטן מ-15 ,0,33,25,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
גני מודיעין, קטן מ-15 , קטן מ-15 ,1-5,17,18,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נופית, קטן מ-15 , קטן מ-15 ,1-5,21,8,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ראש פינה, קטן מ-15 , קטן מ-15 ,1-5,20,13,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אלון שבות,22, קטן מ-15 ,0,42,28,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ג'ש (גוש חלב), קטן מ-15 , קטן מ-15 ,1-5,30,22,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אלעזר,15, קטן מ-15 ,0,36,20,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
דאלית אל-כרמל, קטן מ-15 , קטן מ-15 ,1-5,47,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אעצם (שבט), קטן מ-15 , קטן מ-15 ,1-5,20,2,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
סאג'ור,16, קטן מ-15 ,0,9,5,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
דייר אל-אסד,160, קטן מ-15 ,1-5,67,6,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ניצן,21, קטן מ-15 ,1-5,27,39,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עץ אפרים, קטן מ-15 , קטן מ-15 ,0,26,29,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
הוואשלה (שבט), קטן מ-15 , קטן מ-15 ,0,7,13,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
רבבה,15, קטן מ-15 ,1-5,14,22,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
הר אדר,23, קטן מ-15 ,0,35,17,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נאעורה, קטן מ-15 , קטן מ-15 ,1-5,17,17,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בענה,49, קטן מ-15 ,0,43,4,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שבלי - אום אל-גנם, קטן מ-15 , קטן מ-15 ,0,83,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ג'ולס, קטן מ-15 , קטן מ-15 ,0,38,6,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
גן נר, קטן מ-15 , קטן מ-15 ,1-5,20,11,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
רמת ישי, קטן מ-15 , קטן מ-15 ,0,51,7,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נוף איילון, קטן מ-15 , קטן מ-15 ,1-5,14,9,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שגב-שלום, קטן מ-15 , קטן מ-15 ,0,35,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
זרזיר, קטן מ-15 , קטן מ-15 ,1-5,42,6,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
סולם, קטן מ-15 , קטן מ-15 ,1-5,22,7,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
טובא-זנגריה, קטן מ-15 , קטן מ-15 ,0,42,1,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
סלמה, קטן מ-15 , קטן מ-15 ,1-5,61,14,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
יאנוח-ג'ת, קטן מ-15 , קטן מ-15 ,1-5,85,5,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שילה,15, קטן מ-15 ,6-10,36,16,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שייח' דנון, קטן מ-15 , קטן מ-15 ,1-5,20,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שמשית, קטן מ-15 , קטן מ-15 ,0,13,9,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כוכב השחר,26, קטן מ-15 ,1-5,11,8,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
שעב, קטן מ-15 , קטן מ-15 ,1-5,39,5,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עילוט, קטן מ-15 , קטן מ-15 ,0,24,5,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כעביה-טבאש-חג'אג'רה, קטן מ-15 , קטן מ-15 ,0,19,2,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר אדומים,16, קטן מ-15 ,0,51,7,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר ברא,24, קטן מ-15 ,1-5,34,24,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בית יצחק-שער חפר, קטן מ-15 , קטן מ-15 ,0,17,10,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר האורנים,18, קטן מ-15 ,1-5,23,32,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ירכא, קטן מ-15 , קטן מ-15 ,1-5,173,4,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר ורדים,16, קטן מ-15 ,1-5,46,13,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עלי זהב, קטן מ-15 , קטן מ-15 ,1-5,34,11,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר יאסיף,22, קטן מ-15 ,1-5,88,7,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
תפרח,32, קטן מ-15 ,1-5,36,28,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
תקוע, קטן מ-15 , קטן מ-15 ,1-5,50,19,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
לפיד, קטן מ-15 , קטן מ-15 ,1-5,29,9,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
תל מונד,29, קטן מ-15 ,1-5,131,7,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בית חשמונאי, קטן מ-15 , קטן מ-15 ,1-5,19,23,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מזרעה, קטן מ-15 , קטן מ-15 ,1-5,25,10,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
פקיעין (בוקייעה),16, קטן מ-15 ,1-5,32,2,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כפר תבור,16, קטן מ-15 ,1-5,38,18,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עספיא,23, קטן מ-15 ,0,75,4,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בסמת טבעון, קטן מ-15 , קטן מ-15 ,1-5,43,6,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מייסר, קטן מ-15 , קטן מ-15 ,1-5,39,25,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
צור יצחק, קטן מ-15 , קטן מ-15 ,1-5,64,2,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
צור משה, קטן מ-15 , קטן מ-15 ,1-5,40,8,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כאוכב אבו אל-היג'א, קטן מ-15 , קטן מ-15 ,0,36,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אחוזת ברק, קטן מ-15 , קטן מ-15 ,0,14,13,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אליכין, קטן מ-15 , קטן מ-15 ,1-5,46,9,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
גבעת אבני, קטן מ-15 , קטן מ-15 ,0,17,20,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מוקייבלה, קטן מ-15 , קטן מ-15 ,1-5,23,17,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
גבעת ברנר, קטן מ-15 , קטן מ-15 ,1-5,18,17,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מסעודין אל-עזאזמה, קטן מ-15 , קטן מ-15 ,0,31,1,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מעיליא, קטן מ-15 , קטן מ-15 ,1-5,43,13,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
ביר אל-מכסור, קטן מ-15 , קטן מ-15 ,1-5,72,3,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מתן,15, קטן מ-15 ,1-5,38,19,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בית אריה,39, קטן מ-15 ,0,39,18,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קדומים, קטן מ-15 , קטן מ-15 ,1-5,37,11,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נווה דניאל,18, קטן מ-15 ,1-5,25,16,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
חורפיש, קטן מ-15 , קטן מ-15 ,1-5,26,2,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אבו רובייעה (שבט), קטן מ-15 , קטן מ-15 ,0,18,2,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אבו סנאן, קטן מ-15 ,0,0,84,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אבטין, קטן מ-15 ,0,0,9,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בועיינה-נוג'ידאת, קטן מ-15 ,0,0,63,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
יקיר, קטן מ-15 ,0,0,17,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
אל סייד, קטן מ-15 ,0,0,13,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
בוקעאתא, קטן מ-15 ,0,0,17,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
כסרא-סמיע, קטן מ-15 ,0,0,26,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
קצרין, קטן מ-15 ,0,0,34,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עלי,22,0,0,21,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
נוקדים, קטן מ-15 ,0,0,14,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
עיילבון, קטן מ-15 ,0,0,41,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
מג'דל שמס, קטן מ-15 ,0,0,25,0,,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
