date,amount,lastUpdate
,17,2020-07-30T03:34:45.407Z
2020-02-12T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-13T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-14T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-15T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-16T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-17T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-18T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-19T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-20T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-21T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-22T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-23T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-24T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-25T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-26T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-27T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-28T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-02-29T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-01T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-02T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-03T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-04T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-05T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-06T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-07T00:00:00.000Z,2,2020-07-30T03:34:45.407Z
2020-03-08T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-09T00:00:00.000Z,2,2020-07-30T03:34:45.407Z
2020-03-10T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-11T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-12T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-13T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-14T00:00:00.000Z,0,2020-07-30T03:34:45.407Z
2020-03-15T00:00:00.000Z,1,2020-07-30T03:34:45.407Z
2020-03-16T00:00:00.000Z,2,2020-07-30T03:34:45.407Z
2020-03-17T00:00:00.000Z,6,2020-07-30T03:34:45.407Z
2020-03-18T00:00:00.000Z,5,2020-07-30T03:34:45.407Z
2020-03-19T00:00:00.000Z,11,2020-07-30T03:34:45.407Z
2020-03-20T00:00:00.000Z,4,2020-07-30T03:34:45.407Z
2020-03-21T00:00:00.000Z,4,2020-07-30T03:34:45.407Z
2020-03-22T00:00:00.000Z,8,2020-07-30T03:34:45.407Z
2020-03-23T00:00:00.000Z,16,2020-07-30T03:34:45.407Z
2020-03-24T00:00:00.000Z,11,2020-07-30T03:34:45.407Z
2020-03-25T00:00:00.000Z,16,2020-07-30T03:34:45.407Z
2020-03-26T00:00:00.000Z,19,2020-07-30T03:34:45.407Z
2020-03-27T00:00:00.000Z,13,2020-07-30T03:34:45.407Z
2020-03-28T00:00:00.000Z,29,2020-07-30T03:34:45.407Z
2020-03-29T00:00:00.000Z,44,2020-07-30T03:34:45.407Z
2020-03-30T00:00:00.000Z,34,2020-07-30T03:34:45.407Z
2020-03-31T00:00:00.000Z,71,2020-07-30T03:34:45.407Z
2020-04-01T00:00:00.000Z,62,2020-07-30T03:34:45.407Z
2020-04-02T00:00:00.000Z,99,2020-07-30T03:34:45.407Z
2020-04-03T00:00:00.000Z,102,2020-07-30T03:34:45.407Z
2020-04-04T00:00:00.000Z,64,2020-07-30T03:34:45.407Z
2020-04-05T00:00:00.000Z,112,2020-07-30T03:34:45.407Z
2020-04-06T00:00:00.000Z,106,2020-07-30T03:34:45.407Z
2020-04-07T00:00:00.000Z,134,2020-07-30T03:34:45.407Z
2020-04-08T00:00:00.000Z,154,2020-07-30T03:34:45.407Z
2020-04-09T00:00:00.000Z,115,2020-07-30T03:34:45.407Z
2020-04-10T00:00:00.000Z,205,2020-07-30T03:34:45.407Z
2020-04-11T00:00:00.000Z,174,2020-07-30T03:34:45.407Z
2020-04-12T00:00:00.000Z,347,2020-07-30T03:34:45.407Z
2020-04-13T00:00:00.000Z,321,2020-07-30T03:34:45.407Z
2020-04-14T00:00:00.000Z,387,2020-07-30T03:34:45.407Z
2020-04-15T00:00:00.000Z,310,2020-07-30T03:34:45.407Z
2020-04-16T00:00:00.000Z,366,2020-07-30T03:34:45.407Z
2020-04-17T00:00:00.000Z,376,2020-07-30T03:34:45.407Z
2020-04-18T00:00:00.000Z,379,2020-07-30T03:34:45.407Z
2020-04-19T00:00:00.000Z,309,2020-07-30T03:34:45.407Z
2020-04-20T00:00:00.000Z,544,2020-07-30T03:34:45.407Z
2020-04-21T00:00:00.000Z,452,2020-07-30T03:34:45.407Z
2020-04-22T00:00:00.000Z,365,2020-07-30T03:34:45.407Z
2020-04-23T00:00:00.000Z,391,2020-07-30T03:34:45.407Z
2020-04-24T00:00:00.000Z,510,2020-07-30T03:34:45.407Z
2020-04-25T00:00:00.000Z,437,2020-07-30T03:34:45.407Z
2020-04-26T00:00:00.000Z,236,2020-07-30T03:34:45.407Z
2020-04-27T00:00:00.000Z,569,2020-07-30T03:34:45.407Z
2020-04-28T00:00:00.000Z,510,2020-07-30T03:34:45.407Z
2020-04-29T00:00:00.000Z,433,2020-07-30T03:34:45.407Z
2020-04-30T00:00:00.000Z,408,2020-07-30T03:34:45.407Z
2020-05-01T00:00:00.000Z,651,2020-07-30T03:34:45.407Z
2020-05-02T00:00:00.000Z,269,2020-07-30T03:34:45.407Z
2020-05-03T00:00:00.000Z,152,2020-07-30T03:34:45.407Z
2020-05-04T00:00:00.000Z,369,2020-07-30T03:34:45.407Z
2020-05-05T00:00:00.000Z,362,2020-07-30T03:34:45.407Z
2020-05-06T00:00:00.000Z,222,2020-07-30T03:34:45.407Z
2020-05-07T00:00:00.000Z,274,2020-07-30T03:34:45.407Z
2020-05-08T00:00:00.000Z,304,2020-07-30T03:34:45.407Z
2020-05-09T00:00:00.000Z,112,2020-07-30T03:34:45.407Z
2020-05-10T00:00:00.000Z,127,2020-07-30T03:34:45.407Z
2020-05-11T00:00:00.000Z,451,2020-07-30T03:34:45.407Z
2020-05-12T00:00:00.000Z,212,2020-07-30T03:34:45.407Z
2020-05-13T00:00:00.000Z,187,2020-07-30T03:34:45.407Z
2020-05-14T00:00:00.000Z,254,2020-07-30T03:34:45.407Z
2020-05-15T00:00:00.000Z,236,2020-07-30T03:34:45.407Z
2020-05-16T00:00:00.000Z,67,2020-07-30T03:34:45.407Z
2020-05-17T00:00:00.000Z,141,2020-07-30T03:34:45.407Z
2020-05-18T00:00:00.000Z,304,2020-07-30T03:34:45.407Z
2020-05-19T00:00:00.000Z,203,2020-07-30T03:34:45.407Z
2020-05-20T00:00:00.000Z,132,2020-07-30T03:34:45.407Z
2020-05-21T00:00:00.000Z,217,2020-07-30T03:34:45.407Z
2020-05-22T00:00:00.000Z,176,2020-07-30T03:34:45.407Z
2020-05-23T00:00:00.000Z,37,2020-07-30T03:34:45.407Z
2020-05-24T00:00:00.000Z,122,2020-07-30T03:34:45.407Z
2020-05-25T00:00:00.000Z,193,2020-07-30T03:34:45.407Z
2020-05-26T00:00:00.000Z,99,2020-07-30T03:34:45.407Z
2020-05-27T00:00:00.000Z,107,2020-07-30T03:34:45.407Z
2020-05-28T00:00:00.000Z,157,2020-07-30T03:34:45.407Z
2020-05-29T00:00:00.000Z,43,2020-07-30T03:34:45.407Z
2020-05-30T00:00:00.000Z,35,2020-07-30T03:34:45.407Z
2020-05-31T00:00:00.000Z,63,2020-07-30T03:34:45.407Z
2020-06-01T00:00:00.000Z,117,2020-07-30T03:34:45.407Z
2020-06-02T00:00:00.000Z,61,2020-07-30T03:34:45.407Z
2020-06-03T00:00:00.000Z,55,2020-07-30T03:34:45.407Z
2020-06-04T00:00:00.000Z,84,2020-07-30T03:34:45.407Z
2020-06-05T00:00:00.000Z,56,2020-07-30T03:34:45.407Z
2020-06-06T00:00:00.000Z,53,2020-07-30T03:34:45.407Z
2020-06-07T00:00:00.000Z,69,2020-07-30T03:34:45.407Z
2020-06-08T00:00:00.000Z,58,2020-07-30T03:34:45.407Z
2020-06-09T00:00:00.000Z,67,2020-07-30T03:34:45.407Z
2020-06-10T00:00:00.000Z,86,2020-07-30T03:34:45.407Z
2020-06-11T00:00:00.000Z,90,2020-07-30T03:34:45.407Z
2020-06-12T00:00:00.000Z,85,2020-07-30T03:34:45.407Z
2020-06-13T00:00:00.000Z,58,2020-07-30T03:34:45.407Z
2020-06-14T00:00:00.000Z,47,2020-07-30T03:34:45.407Z
2020-06-15T00:00:00.000Z,86,2020-07-30T03:34:45.407Z
2020-06-16T00:00:00.000Z,52,2020-07-30T03:34:45.407Z
2020-06-17T00:00:00.000Z,72,2020-07-30T03:34:45.407Z
2020-06-18T00:00:00.000Z,94,2020-07-30T03:34:45.407Z
2020-06-19T00:00:00.000Z,72,2020-07-30T03:34:45.407Z
2020-06-20T00:00:00.000Z,62,2020-07-30T03:34:45.407Z
2020-06-21T00:00:00.000Z,45,2020-07-30T03:34:45.407Z
2020-06-22T00:00:00.000Z,109,2020-07-30T03:34:45.407Z
2020-06-23T00:00:00.000Z,133,2020-07-30T03:34:45.407Z
2020-06-24T00:00:00.000Z,72,2020-07-30T03:34:45.407Z
2020-06-25T00:00:00.000Z,138,2020-07-30T03:34:45.407Z
2020-06-26T00:00:00.000Z,140,2020-07-30T03:34:45.407Z
2020-06-27T00:00:00.000Z,99,2020-07-30T03:34:45.407Z
2020-06-28T00:00:00.000Z,110,2020-07-30T03:34:45.407Z
2020-06-29T00:00:00.000Z,200,2020-07-30T03:34:45.407Z
2020-06-30T00:00:00.000Z,132,2020-07-30T03:34:45.407Z
2020-07-01T00:00:00.000Z,133,2020-07-30T03:34:45.407Z
2020-07-02T00:00:00.000Z,163,2020-07-30T03:34:45.407Z
2020-07-03T00:00:00.000Z,148,2020-07-30T03:34:45.407Z
2020-07-04T00:00:00.000Z,162,2020-07-30T03:34:45.407Z
2020-07-05T00:00:00.000Z,172,2020-07-30T03:34:45.407Z
2020-07-06T00:00:00.000Z,185,2020-07-30T03:34:45.407Z
2020-07-07T00:00:00.000Z,189,2020-07-30T03:34:45.407Z
2020-07-08T00:00:00.000Z,146,2020-07-30T03:34:45.407Z
2020-07-09T00:00:00.000Z,211,2020-07-30T03:34:45.407Z
2020-07-10T00:00:00.000Z,218,2020-07-30T03:34:45.407Z
2020-07-11T00:00:00.000Z,233,2020-07-30T03:34:45.407Z
2020-07-12T00:00:00.000Z,292,2020-07-30T03:34:45.407Z
2020-07-13T00:00:00.000Z,353,2020-07-30T03:34:45.407Z
2020-07-14T00:00:00.000Z,350,2020-07-30T03:34:45.407Z
2020-07-15T00:00:00.000Z,450,2020-07-30T03:34:45.407Z
2020-07-16T00:00:00.000Z,532,2020-07-30T03:34:45.407Z
2020-07-17T00:00:00.000Z,509,2020-07-30T03:34:45.407Z
2020-07-18T00:00:00.000Z,610,2020-07-30T03:34:45.407Z
2020-07-19T00:00:00.000Z,460,2020-07-30T03:34:45.407Z
2020-07-20T00:00:00.000Z,929,2020-07-30T03:34:45.407Z
2020-07-21T00:00:00.000Z,1112,2020-07-30T03:34:45.407Z
2020-07-22T00:00:00.000Z,1897,2020-07-30T03:34:45.407Z
2020-07-23T00:00:00.000Z,3345,2020-07-30T03:34:45.407Z
2020-07-24T00:00:00.000Z,706,2020-07-30T03:34:45.407Z
2020-07-25T00:00:00.000Z,415,2020-07-30T03:34:45.407Z
2020-07-26T00:00:00.000Z,1199,2020-07-30T03:34:45.407Z
2020-07-27T00:00:00.000Z,1099,2020-07-30T03:34:45.407Z
2020-07-28T00:00:00.000Z,967,2020-07-30T03:34:45.407Z
2020-07-29T00:00:00.000Z,128,2020-07-30T03:34:45.407Z
2020-07-30T00:00:00.000Z,22,2020-07-30T03:34:45.407Z
