יישוב,pop2018,סוג מידע,value,date,StringencyIndex
דייר אל-אסד,12435,מספר נבדקים,2531.0,2020-04-26,1.0
בני ברק,195298,מספר נבדקים,14151.0,2020-04-26,1.0
אלעד,46760,מספר נבדקים,2502.0,2020-04-26,1.0
ביתר עילית,59240,מספר נבדקים,1721.0,2020-04-26,1.0
מודיעין עילית,73808,מספר נבדקים,2443.0,2020-04-26,1.0
כוכב יעקב,8602,מספר נבדקים,331.0,2020-04-26,1.0
בית שמש,120812,מספר נבדקים,3149.0,2020-04-26,1.0
ירושלים,914559,מספר נבדקים,35540.0,2020-04-26,1.0
פקיעין (בוקייעה),5851,מספר נבדקים,245.0,2020-04-26,1.0
בענה,8355,מספר נבדקים,908.0,2020-04-26,1.0
נתיבות,36511,מספר נבדקים,1055.0,2020-04-26,1.0
ג'סר א-זרקא,14732,מספר נבדקים,1134.0,2020-04-26,1.0
קרית יערים,5713,מספר נבדקים,390.0,2020-04-26,1.0
אור יהודה,34843,מספר נבדקים,1724.0,2020-04-26,1.0
מצפה רמון,4991,מספר נבדקים,225.0,2020-04-26,1.0
גבעת זאב,18510,מספר נבדקים,635.0,2020-04-26,1.0
טבריה,44353,מספר נבדקים,2625.0,2020-04-26,1.0
רכסים,11841,מספר נבדקים,306.0,2020-04-26,1.0
אפרת,10676,מספר נבדקים,699.0,2020-04-26,1.0
קצרין,7373,מספר נבדקים,151.0,2020-04-26,1.0
חריש,8737,מספר נבדקים,295.0,2020-04-26,1.0
"כפר חב""ד",6724,מספר נבדקים,218.0,2020-04-26,1.0
בית אריה,4981,מספר נבדקים,157.0,2020-04-26,1.0
בית אל,5767,מספר נבדקים,135.0,2020-04-26,1.0
גני תקווה,18930,מספר נבדקים,722.0,2020-04-26,1.0
דבוריה,10414,מספר נבדקים,1045.0,2020-04-26,1.0
גבע בנימין,5299,מספר נבדקים,143.0,2020-04-26,1.0
חורה,16983,מספר נבדקים,223.0,2020-04-26,1.0
שעב,7191,מספר נבדקים,1205.0,2020-04-26,1.0
אום אל-פחם,55324,מספר נבדקים,1396.0,2020-04-26,1.0
ג'לג'וליה,10011,מספר נבדקים,342.0,2020-04-26,1.0
זכרון יעקב,22341,מספר נבדקים,537.0,2020-04-26,1.0
אבן יהודה,13263,מספר נבדקים,649.0,2020-04-26,1.0
טייבה,43144,מספר נבדקים,1412.0,2020-04-26,1.0
רעננה,73979,מספר נבדקים,3175.0,2020-04-26,1.0
צפת,35671,מספר נבדקים,846.0,2020-04-26,1.0
ג'ת,11910,מספר נבדקים,632.0,2020-04-26,1.0
גדרה,24633,מספר נבדקים,1333.0,2020-04-26,1.0
מגדל העמק,26058,מספר נבדקים,1056.0,2020-04-26,1.0
גבעת שמואל,24538,מספר נבדקים,801.0,2020-04-26,1.0
עומר,8016,מספר נבדקים,273.0,2020-04-26,1.0
מעלה אדומים,37469,מספר נבדקים,1588.0,2020-04-26,1.0
אופקים,30185,מספר נבדקים,853.0,2020-04-26,1.0
פוריידיס,13133,מספר נבדקים,373.0,2020-04-26,1.0
אשקלון,139032,מספר נבדקים,4767.0,2020-04-26,1.0
קרית ארבע,7364,מספר נבדקים,209.0,2020-04-26,1.0
אזור,11819,מספר נבדקים,437.0,2020-04-26,1.0
קרית מלאכי,23691,מספר נבדקים,538.0,2020-04-26,1.0
מיתר,9043,מספר נבדקים,384.0,2020-04-26,1.0
כוכב יאיר,9143,מספר נבדקים,285.0,2020-04-26,1.0
אשדוד,225073,מספר נבדקים,6164.0,2020-04-26,1.0
שבלי - אום אל-גנם,6367,מספר נבדקים,141.0,2020-04-26,1.0
רהט,64649,מספר נבדקים,1831.0,2020-04-26,1.0
יהוד,29104,מספר נבדקים,830.0,2020-04-26,1.0
רמת גן,143370,מספר נבדקים,5920.0,2020-04-26,1.0
כרמיאל,46596,מספר נבדקים,1471.0,2020-04-26,1.0
שוהם,20041,מספר נבדקים,741.0,2020-04-26,1.0
ירוחם,10126,מספר נבדקים,213.0,2020-04-26,1.0
בת ים,130523,מספר נבדקים,3569.0,2020-04-26,1.0
קיסריה,5272,מספר נבדקים,145.0,2020-04-26,1.0
קרית גת,55400,מספר נבדקים,1241.0,2020-04-26,1.0
באר יעקב,24216,מספר נבדקים,725.0,2020-04-26,1.0
כפר כנא,22449,מספר נבדקים,653.0,2020-04-26,1.0
לוד,75038,מספר נבדקים,1913.0,2020-04-26,1.0
נחף,13167,מספר נבדקים,447.0,2020-04-26,1.0
עיילבון,5677,מספר נבדקים,156.0,2020-04-26,1.0
מג'ד אל-כרום,15275,מספר נבדקים,966.0,2020-04-26,1.0
קרית אונו,37112,מספר נבדקים,1232.0,2020-04-26,1.0
כפר קאסם,23517,מספר נבדקים,1016.0,2020-04-26,1.0
ביר אל-מכסור,9866,מספר נבדקים,103.0,2020-04-26,1.0
צור יצחק,5954,מספר נבדקים,159.0,2020-04-26,1.0
ראש העין,53965,מספר נבדקים,1727.0,2020-04-26,1.0
פתח תקווה,242478,מספר נבדקים,7751.0,2020-04-26,1.0
חולון,185741,מספר נבדקים,5352.0,2020-04-26,1.0
באר שבע,196755,מספר נבדקים,6869.0,2020-04-26,1.0
מעלה עירון,14861,מספר נבדקים,278.0,2020-04-26,1.0
תל אביב - יפו,450192,מספר נבדקים,11977.0,2020-04-26,1.0
הרצליה,90900,מספר נבדקים,2914.0,2020-04-26,1.0
אריאל,18251,מספר נבדקים,494.0,2020-04-26,1.0
קרית ים,39556,מספר נבדקים,886.0,2020-04-26,1.0
מודיעין-מכבים-רעות,87108,מספר נבדקים,2345.0,2020-04-26,1.0
דייר חנא,10567,מספר נבדקים,332.0,2020-04-26,1.0
ערד,26763,מספר נבדקים,440.0,2020-04-26,1.0
עפולה,50886,מספר נבדקים,1499.0,2020-04-26,1.0
שערי תקווה,5584,מספר נבדקים,126.0,2020-04-26,1.0
כפר ורדים,5599,מספר נבדקים,124.0,2020-04-26,1.0
שדרות,25891,מספר נבדקים,706.0,2020-04-26,1.0
גבעתיים,55123,מספר נבדקים,1670.0,2020-04-26,1.0
אכסאל,14655,מספר נבדקים,289.0,2020-04-26,1.0
נתניה,213971,מספר נבדקים,4841.0,2020-04-26,1.0
כפר יונה,21301,מספר נבדקים,556.0,2020-04-26,1.0
להבים,6178,מספר נבדקים,238.0,2020-04-26,1.0
חיפה,272584,מספר נבדקים,6976.0,2020-04-26,1.0
תל מונד,12593,מספר נבדקים,699.0,2020-04-26,1.0
שלומי,6478,מספר נבדקים,205.0,2020-04-26,1.0
נהריה,58750,מספר נבדקים,1935.0,2020-04-26,1.0
אבו סנאן,13164,מספר נבדקים,289.0,2020-04-26,1.0
ראשון לציון,241010,מספר נבדקים,7030.0,2020-04-26,1.0
נוף הגליל,43811,מספר נבדקים,1038.0,2020-04-26,1.0
קדימה-צורן,20831,מספר נבדקים,364.0,2020-04-26,1.0
"בסמ""ה",10532,מספר נבדקים,140.0,2020-04-26,1.0
קרית עקרון,10600,מספר נבדקים,239.0,2020-04-26,1.0
באקה אל-גרביה,29035,מספר נבדקים,724.0,2020-04-26,1.0
רמת השרון,44896,מספר נבדקים,1332.0,2020-04-26,1.0
יבנה,45555,מספר נבדקים,1230.0,2020-04-26,1.0
רחובות,137178,מספר נבדקים,4181.0,2020-04-26,1.0
אלפי מנשה,7771,מספר נבדקים,182.0,2020-04-26,1.0
צור הדסה,7856,מספר נבדקים,340.0,2020-04-26,1.0
קרני שומרון,7906,מספר נבדקים,158.0,2020-04-26,1.0
רמלה,75246,מספר נבדקים,1840.0,2020-04-26,1.0
סח'נין,32089,מספר נבדקים,809.0,2020-04-26,1.0
כאבול,12102,מספר נבדקים,769.0,2020-04-26,1.0
כפר סבא,97412,מספר נבדקים,2647.0,2020-04-26,1.0
עכו,50872,מספר נבדקים,1431.0,2020-04-26,1.0
אורנית,8822,מספר נבדקים,240.0,2020-04-26,1.0
דימונה,35377,מספר נבדקים,922.0,2020-04-26,1.0
קרית שמונה,22152,מספר נבדקים,389.0,2020-04-26,1.0
טירת כרמל,22243,מספר נבדקים,434.0,2020-04-26,1.0
עין מאהל,13388,מספר נבדקים,236.0,2020-04-26,1.0
חדרה,94104,מספר נבדקים,2352.0,2020-04-26,1.0
גן יבנה,22410,מספר נבדקים,627.0,2020-04-26,1.0
קלנסווה,22740,מספר נבדקים,683.0,2020-04-26,1.0
הוד השרון,59171,מספר נבדקים,1394.0,2020-04-26,1.0
טמרה,33792,מספר נבדקים,859.0,2020-04-26,1.0
קרית ביאליק,39262,מספר נבדקים,1176.0,2020-04-26,1.0
מזכרת בתיה,14949,מספר נבדקים,454.0,2020-04-26,1.0
פרדס חנה-כרכור,40622,מספר נבדקים,672.0,2020-04-26,1.0
אילת,56568,מספר נבדקים,1133.0,2020-04-26,1.0
יקנעם עילית,22711,מספר נבדקים,385.0,2020-04-26,1.0
נס ציונה,45714,מספר נבדקים,1161.0,2020-04-26,1.0
ג'ולס,6147,מספר נבדקים,86.0,2020-04-26,1.0
חורפיש,6288,מספר נבדקים,284.0,2020-04-26,1.0
קרית אתא,57108,מספר נבדקים,1258.0,2020-04-26,1.0
עראבה,25876,מספר נבדקים,510.0,2020-04-26,1.0
יאנוח-ג'ת,6514,מספר נבדקים,175.0,2020-04-26,1.0
נצרת,78252,מספר נבדקים,1172.0,2020-04-26,1.0
בית דגן,6533,מספר נבדקים,163.0,2020-04-26,1.0
טירה,26184,מספר נבדקים,769.0,2020-04-26,1.0
טובא-זנגריה,6648,מספר נבדקים,73.0,2020-04-26,1.0
קרית מוצקין,42870,מספר נבדקים,1588.0,2020-04-26,1.0
רמת ישי,7236,מספר נבדקים,188.0,2020-04-26,1.0
נשר,22032,מספר נבדקים,1138.0,2020-04-26,1.0
לקיה,14695,מספר נבדקים,243.0,2020-04-26,1.0
מעלות-תרשיחא,22261,מספר נבדקים,356.0,2020-04-26,1.0
מבשרת ציון,23093,מספר נבדקים,841.0,2020-04-26,1.0
אבו גוש,7792,מספר נבדקים,425.0,2020-04-26,1.0
קרית טבעון,15831,מספר נבדקים,344.0,2020-04-26,1.0
עילוט,8241,מספר נבדקים,173.0,2020-04-26,1.0
אבו רובייעה (שבט),8446,מספר נבדקים,33.0,2020-04-26,1.0
חצור הגלילית,9722,מספר נבדקים,188.0,2020-04-26,1.0
בועיינה-נוג'ידאת,9974,מספר נבדקים,136.0,2020-04-26,1.0
שפרעם,40666,מספר נבדקים,842.0,2020-04-26,1.0
ג'דיידה-מכר,20524,מספר נבדקים,251.0,2020-04-26,1.0
מגאר,22364,מספר נבדקים,417.0,2020-04-26,1.0
עספיא,12141,מספר נבדקים,451.0,2020-04-26,1.0
ירכא,15418,מספר נבדקים,673.0,2020-04-26,1.0
מסעודין אל-עזאזמה,16644,מספר נבדקים,36.0,2020-04-26,1.0
כפר קרע,18820,מספר נבדקים,505.0,2020-04-26,1.0
אור עקיבא,18893,מספר נבדקים,306.0,2020-04-26,1.0
יפיע,19056,מספר נבדקים,322.0,2020-04-26,1.0
בית שאן,19058,מספר נבדקים,259.0,2020-04-26,1.0
כפר מנדא,20003,מספר נבדקים,296.0,2020-04-26,1.0
תל שבע,19850,מספר נבדקים,158.0,2020-04-26,1.0
ערערה,19667,מספר נבדקים,623.0,2020-04-26,1.0
ערערה-בנגב,17465,מספר נבדקים,445.0,2020-04-26,1.0
דאלית אל-כרמל,16993,מספר נבדקים,184.0,2020-04-26,1.0
כסיפה,16957,מספר נבדקים,232.0,2020-04-26,1.0
ריינה,16614,מספר נבדקים,175.0,2020-04-26,1.0
טורעאן,14398,מספר נבדקים,221.0,2020-04-26,1.0
בנימינה-גבעת עדה,14383,מספר נבדקים,167.0,2020-04-26,1.0
אעבלין,13062,מספר נבדקים,279.0,2020-04-26,1.0
בית ג'ן,11757,מספר נבדקים,147.0,2020-04-26,1.0
מג'דל שמס,11089,מספר נבדקים,185.0,2020-04-26,1.0
כפר יאסיף,10577,מספר נבדקים,499.0,2020-04-26,1.0
שגב-שלום,10310,מספר נבדקים,48.0,2020-04-26,1.0
אעצם (שבט),10149,מספר נבדקים,31.0,2020-04-26,1.0
אבו רוקייק (שבט),9696,מספר נבדקים,36.0,2020-04-26,1.0
משהד,8649,מספר נבדקים,77.0,2020-04-26,1.0
כסרא-סמיע,8550,מספר נבדקים,85.0,2020-04-26,1.0
זרזיר,8385,מספר נבדקים,76.0,2020-04-26,1.0
ראמה,8243,מספר נבדקים,256.0,2020-04-26,1.0
בסמת טבעון,7833,מספר נבדקים,119.0,2020-04-26,1.0
עתלית,7442,מספר נבדקים,193.0,2020-04-26,1.0
זמר,6926,מספר נבדקים,250.0,2020-04-26,1.0
"בני עי""ש",6837,מספר נבדקים,229.0,2020-04-26,1.0
בוקעאתא,6586,מספר נבדקים,75.0,2020-04-26,1.0
אבו קורינאת (שבט),6235,מספר נבדקים,18.0,2020-04-26,1.0
פרדסיה,6027,מספר נבדקים,525.0,2020-04-26,1.0
כעביה-טבאש-חג'אג'רה,5780,מספר נבדקים,33.0,2020-04-26,1.0
בת חפר,5124,מספר נבדקים,174.0,2020-04-26,1.0
דייר אל-אסד,12435,מספר חולים מאומתים,150.0,2020-04-26,1.0
בני ברק,195298,מספר חולים מאומתים,2747.0,2020-04-26,1.0
אלעד,46760,מספר חולים מאומתים,371.0,2020-04-26,1.0
ביתר עילית,59240,מספר חולים מאומתים,270.0,2020-04-26,1.0
מודיעין עילית,73808,מספר חולים מאומתים,375.0,2020-04-26,1.0
כוכב יעקב,8602,מספר חולים מאומתים,58.0,2020-04-26,1.0
בית שמש,120812,מספר חולים מאומתים,436.0,2020-04-26,1.0
ירושלים,914559,מספר חולים מאומתים,3279.0,2020-04-26,1.0
פקיעין (בוקייעה),5851,מספר חולים מאומתים,15.0,2020-04-26,1.0
בענה,8355,מספר חולים מאומתים,22.0,2020-04-26,1.0
נתיבות,36511,מספר חולים מאומתים,89.0,2020-04-26,1.0
ג'סר א-זרקא,14732,מספר חולים מאומתים,43.0,2020-04-26,1.0
קרית יערים,5713,מספר חולים מאומתים,36.0,2020-04-26,1.0
אור יהודה,34843,מספר חולים מאומתים,138.0,2020-04-26,1.0
מצפה רמון,4991,מספר חולים מאומתים,26.0,2020-04-26,1.0
גבעת זאב,18510,מספר חולים מאומתים,48.0,2020-04-26,1.0
טבריה,44353,מספר חולים מאומתים,166.0,2020-04-26,1.0
רכסים,11841,מספר חולים מאומתים,37.0,2020-04-26,1.0
אפרת,10676,מספר חולים מאומתים,64.0,2020-04-26,1.0
קצרין,7373,מספר חולים מאומתים,15.0,2020-04-26,1.0
חריש,8737,מספר חולים מאומתים,17.0,2020-04-26,1.0
"כפר חב""ד",6724,מספר חולים מאומתים,43.0,2020-04-26,1.0
בית אריה,4981,מספר חולים מאומתים,10.0,2020-04-26,1.0
בית אל,5767,מספר חולים מאומתים,12.0,2020-04-26,1.0
גני תקווה,18930,מספר חולים מאומתים,45.0,2020-04-26,1.0
דבוריה,10414,מספר חולים מאומתים,29.0,2020-04-26,1.0
גבע בנימין,5299,מספר חולים מאומתים,10.0,2020-04-26,1.0
חורה,16983,מספר חולים מאומתים,19.0,2020-04-26,1.0
שעב,7191,מספר חולים מאומתים,8.0,2020-04-26,1.0
אום אל-פחם,55324,מספר חולים מאומתים,74.0,2020-04-26,1.0
ג'לג'וליה,10011,מספר חולים מאומתים,12.0,2020-04-26,1.0
זכרון יעקב,22341,מספר חולים מאומתים,36.0,2020-04-26,1.0
אבן יהודה,13263,מספר חולים מאומתים,32.0,2020-04-26,1.0
טייבה,43144,מספר חולים מאומתים,42.0,2020-04-26,1.0
רעננה,73979,מספר חולים מאומתים,137.0,2020-04-26,1.0
צפת,35671,מספר חולים מאומתים,66.0,2020-04-26,1.0
ג'ת,11910,מספר חולים מאומתים,23.0,2020-04-26,1.0
גדרה,24633,מספר חולים מאומתים,54.0,2020-04-26,1.0
מגדל העמק,26058,מספר חולים מאומתים,100.0,2020-04-26,1.0
גבעת שמואל,24538,מספר חולים מאומתים,41.0,2020-04-26,1.0
עומר,8016,מספר חולים מאומתים,12.0,2020-04-26,1.0
מעלה אדומים,37469,מספר חולים מאומתים,51.0,2020-04-26,1.0
אופקים,30185,מספר חולים מאומתים,45.0,2020-04-26,1.0
פוריידיס,13133,מספר חולים מאומתים,10.0,2020-04-26,1.0
אשקלון,139032,מספר חולים מאומתים,260.0,2020-04-26,1.0
קרית ארבע,7364,מספר חולים מאומתים,12.0,2020-04-26,1.0
אזור,11819,מספר חולים מאומתים,30.0,2020-04-26,1.0
קרית מלאכי,23691,מספר חולים מאומתים,52.0,2020-04-26,1.0
מיתר,9043,מספר חולים מאומתים,8.0,2020-04-26,1.0
כוכב יאיר,9143,מספר חולים מאומתים,13.0,2020-04-26,1.0
אשדוד,225073,מספר חולים מאומתים,269.0,2020-04-26,1.0
שבלי - אום אל-גנם,6367,מספר חולים מאומתים,9.0,2020-04-26,1.0
רהט,64649,מספר חולים מאומתים,52.0,2020-04-26,1.0
יהוד,29104,מספר חולים מאומתים,70.0,2020-04-26,1.0
רמת גן,143370,מספר חולים מאומתים,178.0,2020-04-26,1.0
כרמיאל,46596,מספר חולים מאומתים,51.0,2020-04-26,1.0
שוהם,20041,מספר חולים מאומתים,35.0,2020-04-26,1.0
ירוחם,10126,מספר חולים מאומתים,9.0,2020-04-26,1.0
בת ים,130523,מספר חולים מאומתים,163.0,2020-04-26,1.0
קיסריה,5272,מספר חולים מאומתים,3.0,2020-04-26,1.0
קרית גת,55400,מספר חולים מאומתים,49.0,2020-04-26,1.0
באר יעקב,24216,מספר חולים מאומתים,23.0,2020-04-26,1.0
כפר כנא,22449,מספר חולים מאומתים,14.0,2020-04-26,1.0
לוד,75038,מספר חולים מאומתים,86.0,2020-04-26,1.0
נחף,13167,מספר חולים מאומתים,9.0,2020-04-26,1.0
עיילבון,5677,מספר חולים מאומתים,7.0,2020-04-26,1.0
מג'ד אל-כרום,15275,מספר חולים מאומתים,8.0,2020-04-26,1.0
קרית אונו,37112,מספר חולים מאומתים,49.0,2020-04-26,1.0
כפר קאסם,23517,מספר חולים מאומתים,17.0,2020-04-26,1.0
ביר אל-מכסור,9866,מספר חולים מאומתים,5.0,2020-04-26,1.0
צור יצחק,5954,מספר חולים מאומתים,4.0,2020-04-26,1.0
ראש העין,53965,מספר חולים מאומתים,45.0,2020-04-26,1.0
פתח תקווה,242478,מספר חולים מאומתים,264.0,2020-04-26,1.0
חולון,185741,מספר חולים מאומתים,171.0,2020-04-26,1.0
באר שבע,196755,מספר חולים מאומתים,168.0,2020-04-26,1.0
מעלה עירון,14861,מספר חולים מאומתים,9.0,2020-04-26,1.0
תל אביב - יפו,450192,מספר חולים מאומתים,496.0,2020-04-26,1.0
הרצליה,90900,מספר חולים מאומתים,102.0,2020-04-26,1.0
אריאל,18251,מספר חולים מאומתים,11.0,2020-04-26,1.0
קרית ים,39556,מספר חולים מאומתים,28.0,2020-04-26,1.0
מודיעין-מכבים-רעות,87108,מספר חולים מאומתים,112.0,2020-04-26,1.0
דייר חנא,10567,מספר חולים מאומתים,11.0,2020-04-26,1.0
ערד,26763,מספר חולים מאומתים,16.0,2020-04-26,1.0
עפולה,50886,מספר חולים מאומתים,60.0,2020-04-26,1.0
שערי תקווה,5584,מספר חולים מאומתים,3.0,2020-04-26,1.0
כפר ורדים,5599,מספר חולים מאומתים,5.0,2020-04-26,1.0
שדרות,25891,מספר חולים מאומתים,31.0,2020-04-26,1.0
גבעתיים,55123,מספר חולים מאומתים,40.0,2020-04-26,1.0
אכסאל,14655,מספר חולים מאומתים,8.0,2020-04-26,1.0
נתניה,213971,מספר חולים מאומתים,174.0,2020-04-26,1.0
כפר יונה,21301,מספר חולים מאומתים,16.0,2020-04-26,1.0
להבים,6178,מספר חולים מאומתים,7.0,2020-04-26,1.0
חיפה,272584,מספר חולים מאומתים,161.0,2020-04-26,1.0
