יישוב,pop2018,סוג מידע,value,date,StringencyIndex
תל מונד,12593,מספר חולים מאומתים,14.0,2020-04-26,1.0
שלומי,6478,מספר חולים מאומתים,7.0,2020-04-26,1.0
נהריה,58750,מספר חולים מאומתים,39.0,2020-04-26,1.0
אבו סנאן,13164,מספר חולים מאומתים,4.0,2020-04-26,1.0
ראשון לציון,241010,מספר חולים מאומתים,212.0,2020-04-26,1.0
נוף הגליל,43811,מספר חולים מאומתים,31.0,2020-04-26,1.0
קדימה-צורן,20831,מספר חולים מאומתים,14.0,2020-04-26,1.0
"בסמ""ה",10532,מספר חולים מאומתים,5.0,2020-04-26,1.0
קרית עקרון,10600,מספר חולים מאומתים,9.0,2020-04-26,1.0
באקה אל-גרביה,29035,מספר חולים מאומתים,19.0,2020-04-26,1.0
רמת השרון,44896,מספר חולים מאומתים,42.0,2020-04-26,1.0
יבנה,45555,מספר חולים מאומתים,37.0,2020-04-26,1.0
רחובות,137178,מספר חולים מאומתים,116.0,2020-04-26,1.0
אלפי מנשה,7771,מספר חולים מאומתים,5.0,2020-04-26,1.0
צור הדסה,7856,מספר חולים מאומתים,5.0,2020-04-26,1.0
קרני שומרון,7906,מספר חולים מאומתים,6.0,2020-04-26,1.0
רמלה,75246,מספר חולים מאומתים,56.0,2020-04-26,1.0
סח'נין,32089,מספר חולים מאומתים,15.0,2020-04-26,1.0
כאבול,12102,מספר חולים מאומתים,4.0,2020-04-26,1.0
כפר סבא,97412,מספר חולים מאומתים,69.0,2020-04-26,1.0
עכו,50872,מספר חולים מאומתים,24.0,2020-04-26,1.0
אורנית,8822,מספר חולים מאומתים,5.0,2020-04-26,1.0
דימונה,35377,מספר חולים מאומתים,27.0,2020-04-26,1.0
קרית שמונה,22152,מספר חולים מאומתים,15.0,2020-04-26,1.0
טירת כרמל,22243,מספר חולים מאומתים,17.0,2020-04-26,1.0
עין מאהל,13388,מספר חולים מאומתים,6.0,2020-04-26,1.0
חדרה,94104,מספר חולים מאומתים,50.0,2020-04-26,1.0
גן יבנה,22410,מספר חולים מאומתים,26.0,2020-04-26,1.0
קלנסווה,22740,מספר חולים מאומתים,6.0,2020-04-26,1.0
הוד השרון,59171,מספר חולים מאומתים,41.0,2020-04-26,1.0
טמרה,33792,מספר חולים מאומתים,19.0,2020-04-26,1.0
קרית ביאליק,39262,מספר חולים מאומתים,15.0,2020-04-26,1.0
מזכרת בתיה,14949,מספר חולים מאומתים,12.0,2020-04-26,1.0
פרדס חנה-כרכור,40622,מספר חולים מאומתים,16.0,2020-04-26,1.0
אילת,56568,מספר חולים מאומתים,23.0,2020-04-26,1.0
יקנעם עילית,22711,מספר חולים מאומתים,16.0,2020-04-26,1.0
נס ציונה,45714,מספר חולים מאומתים,19.0,2020-04-26,1.0
ג'ולס,6147,מספר חולים מאומתים,2.0,2020-04-26,1.0
חורפיש,6288,מספר חולים מאומתים,2.0,2020-04-26,1.0
קרית אתא,57108,מספר חולים מאומתים,25.0,2020-04-26,1.0
עראבה,25876,מספר חולים מאומתים,7.0,2020-04-26,1.0
יאנוח-ג'ת,6514,מספר חולים מאומתים,1.0,2020-04-26,1.0
נצרת,78252,מספר חולים מאומתים,19.0,2020-04-26,1.0
בית דגן,6533,מספר חולים מאומתים,5.0,2020-04-26,1.0
טירה,26184,מספר חולים מאומתים,7.0,2020-04-26,1.0
טובא-זנגריה,6648,מספר חולים מאומתים,1.0,2020-04-26,1.0
קרית מוצקין,42870,מספר חולים מאומתים,12.0,2020-04-26,1.0
רמת ישי,7236,מספר חולים מאומתים,3.0,2020-04-26,1.0
נשר,22032,מספר חולים מאומתים,5.0,2020-04-26,1.0
לקיה,14695,מספר חולים מאומתים,2.0,2020-04-26,1.0
מעלות-תרשיחא,22261,מספר חולים מאומתים,13.0,2020-04-26,1.0
מבשרת ציון,23093,מספר חולים מאומתים,15.0,2020-04-26,1.0
אבו גוש,7792,מספר חולים מאומתים,2.0,2020-04-26,1.0
קרית טבעון,15831,מספר חולים מאומתים,5.0,2020-04-26,1.0
עילוט,8241,מספר חולים מאומתים,2.0,2020-04-26,1.0
אבו רובייעה (שבט),8446,מספר חולים מאומתים,1.0,2020-04-26,1.0
חצור הגלילית,9722,מספר חולים מאומתים,3.0,2020-04-26,1.0
בועיינה-נוג'ידאת,9974,מספר חולים מאומתים,2.0,2020-04-26,1.0
שפרעם,40666,מספר חולים מאומתים,7.0,2020-04-26,1.0
ג'דיידה-מכר,20524,מספר חולים מאומתים,2.0,2020-04-26,1.0
מגאר,22364,מספר חולים מאומתים,9.0,2020-04-26,1.0
עספיא,12141,מספר חולים מאומתים,4.0,2020-04-26,1.0
ירכא,15418,מספר חולים מאומתים,1.0,2020-04-26,1.0
מסעודין אל-עזאזמה,16644,מספר חולים מאומתים,1.0,2020-04-26,1.0
כפר קרע,18820,מספר חולים מאומתים,6.0,2020-04-26,1.0
אור עקיבא,18893,מספר חולים מאומתים,3.0,2020-04-26,1.0
יפיע,19056,מספר חולים מאומתים,5.0,2020-04-26,1.0
בית שאן,19058,מספר חולים מאומתים,2.0,2020-04-26,1.0
כפר מנדא,20003,מספר חולים מאומתים,0.0,2020-04-26,1.0
תל שבע,19850,מספר חולים מאומתים,1.0,2020-04-26,1.0
ערערה,19667,מספר חולים מאומתים,2.0,2020-04-26,1.0
ערערה-בנגב,17465,מספר חולים מאומתים,12.0,2020-04-26,1.0
דאלית אל-כרמל,16993,מספר חולים מאומתים,0.0,2020-04-26,1.0
כסיפה,16957,מספר חולים מאומתים,7.0,2020-04-26,1.0
ריינה,16614,מספר חולים מאומתים,0.0,2020-04-26,1.0
טורעאן,14398,מספר חולים מאומתים,0.0,2020-04-26,1.0
בנימינה-גבעת עדה,14383,מספר חולים מאומתים,2.0,2020-04-26,1.0
אעבלין,13062,מספר חולים מאומתים,0.0,2020-04-26,1.0
בית ג'ן,11757,מספר חולים מאומתים,0.0,2020-04-26,1.0
מג'דל שמס,11089,מספר חולים מאומתים,1.0,2020-04-26,1.0
כפר יאסיף,10577,מספר חולים מאומתים,3.0,2020-04-26,1.0
שגב-שלום,10310,מספר חולים מאומתים,0.0,2020-04-26,1.0
אעצם (שבט),10149,מספר חולים מאומתים,0.0,2020-04-26,1.0
אבו רוקייק (שבט),9696,מספר חולים מאומתים,0.0,2020-04-26,1.0
משהד,8649,מספר חולים מאומתים,0.0,2020-04-26,1.0
כסרא-סמיע,8550,מספר חולים מאומתים,0.0,2020-04-26,1.0
זרזיר,8385,מספר חולים מאומתים,0.0,2020-04-26,1.0
ראמה,8243,מספר חולים מאומתים,1.0,2020-04-26,1.0
בסמת טבעון,7833,מספר חולים מאומתים,2.0,2020-04-26,1.0
עתלית,7442,מספר חולים מאומתים,5.0,2020-04-26,1.0
זמר,6926,מספר חולים מאומתים,3.0,2020-04-26,1.0
"בני עי""ש",6837,מספר חולים מאומתים,5.0,2020-04-26,1.0
בוקעאתא,6586,מספר חולים מאומתים,2.0,2020-04-26,1.0
אבו קורינאת (שבט),6235,מספר חולים מאומתים,0.0,2020-04-26,1.0
פרדסיה,6027,מספר חולים מאומתים,1.0,2020-04-26,1.0
כעביה-טבאש-חג'אג'רה,5780,מספר חולים מאומתים,0.0,2020-04-26,1.0
בת חפר,5124,מספר חולים מאומתים,1.0,2020-04-26,1.0
דייר אל-אסד,12435,מספר מחלימים,9.0,2020-04-26,1.0
בני ברק,195298,מספר מחלימים,1065.0,2020-04-26,1.0
אלעד,46760,מספר מחלימים,145.0,2020-04-26,1.0
ביתר עילית,59240,מספר מחלימים,69.0,2020-04-26,1.0
מודיעין עילית,73808,מספר מחלימים,126.0,2020-04-26,1.0
כוכב יעקב,8602,מספר מחלימים,32.0,2020-04-26,1.0
בית שמש,120812,מספר מחלימים,99.0,2020-04-26,1.0
ירושלים,914559,מספר מחלימים,929.0,2020-04-26,1.0
פקיעין (בוקייעה),5851,מספר מחלימים,0.0,2020-04-26,1.0
בענה,8355,מספר מחלימים,1.0,2020-04-26,1.0
נתיבות,36511,מספר מחלימים,14.0,2020-04-26,1.0
ג'סר א-זרקא,14732,מספר מחלימים,14.0,2020-04-26,1.0
קרית יערים,5713,מספר מחלימים,25.0,2020-04-26,1.0
אור יהודה,34843,מספר מחלימים,74.0,2020-04-26,1.0
מצפה רמון,4991,מספר מחלימים,17.0,2020-04-26,1.0
גבעת זאב,18510,מספר מחלימים,16.0,2020-04-26,1.0
טבריה,44353,מספר מחלימים,94.0,2020-04-26,1.0
רכסים,11841,מספר מחלימים,18.0,2020-04-26,1.0
אפרת,10676,מספר מחלימים,48.0,2020-04-26,1.0
קצרין,7373,מספר מחלימים,4.0,2020-04-26,1.0
חריש,8737,מספר מחלימים,4.0,2020-04-26,1.0
"כפר חב""ד",6724,מספר מחלימים,33.0,2020-04-26,1.0
בית אריה,4981,מספר מחלימים,3.0,2020-04-26,1.0
בית אל,5767,מספר מחלימים,4.0,2020-04-26,1.0
גני תקווה,18930,מספר מחלימים,21.0,2020-04-26,1.0
דבוריה,10414,מספר מחלימים,17.0,2020-04-26,1.0
גבע בנימין,5299,מספר מחלימים,4.0,2020-04-26,1.0
חורה,16983,מספר מחלימים,0.0,2020-04-26,1.0
שעב,7191,מספר מחלימים,0.0,2020-04-26,1.0
אום אל-פחם,55324,מספר מחלימים,18.0,2020-04-26,1.0
ג'לג'וליה,10011,מספר מחלימים,2.0,2020-04-26,1.0
זכרון יעקב,22341,מספר מחלימים,15.0,2020-04-26,1.0
אבן יהודה,13263,מספר מחלימים,20.0,2020-04-26,1.0
טייבה,43144,מספר מחלימים,5.0,2020-04-26,1.0
רעננה,73979,מספר מחלימים,74.0,2020-04-26,1.0
צפת,35671,מספר מחלימים,36.0,2020-04-26,1.0
ג'ת,11910,מספר מחלימים,13.0,2020-04-26,1.0
גדרה,24633,מספר מחלימים,34.0,2020-04-26,1.0
מגדל העמק,26058,מספר מחלימים,79.0,2020-04-26,1.0
גבעת שמואל,24538,מספר מחלימים,22.0,2020-04-26,1.0
עומר,8016,מספר מחלימים,6.0,2020-04-26,1.0
מעלה אדומים,37469,מספר מחלימים,23.0,2020-04-26,1.0
אופקים,30185,מספר מחלימים,23.0,2020-04-26,1.0
פוריידיס,13133,מספר מחלימים,1.0,2020-04-26,1.0
אשקלון,139032,מספר מחלימים,165.0,2020-04-26,1.0
קרית ארבע,7364,מספר מחלימים,7.0,2020-04-26,1.0
אזור,11819,מספר מחלימים,22.0,2020-04-26,1.0
קרית מלאכי,23691,מספר מחלימים,36.0,2020-04-26,1.0
מיתר,9043,מספר מחלימים,2.0,2020-04-26,1.0
כוכב יאיר,9143,מספר מחלימים,7.0,2020-04-26,1.0
אשדוד,225073,מספר מחלימים,127.0,2020-04-26,1.0
שבלי - אום אל-גנם,6367,מספר מחלימים,5.0,2020-04-26,1.0
רהט,64649,מספר מחלימים,12.0,2020-04-26,1.0
יהוד,29104,מספר מחלימים,52.0,2020-04-26,1.0
רמת גן,143370,מספר מחלימים,90.0,2020-04-26,1.0
כרמיאל,46596,מספר מחלימים,23.0,2020-04-26,1.0
שוהם,20041,מספר מחלימים,23.0,2020-04-26,1.0
ירוחם,10126,מספר מחלימים,3.0,2020-04-26,1.0
בת ים,130523,מספר מחלימים,88.0,2020-04-26,1.0
קיסריה,5272,מספר מחלימים,0.0,2020-04-26,1.0
קרית גת,55400,מספר מחלימים,18.0,2020-04-26,1.0
באר יעקב,24216,מספר מחלימים,10.0,2020-04-26,1.0
כפר כנא,22449,מספר מחלימים,2.0,2020-04-26,1.0
לוד,75038,מספר מחלימים,46.0,2020-04-26,1.0
נחף,13167,מספר מחלימים,2.0,2020-04-26,1.0
עיילבון,5677,מספר מחלימים,4.0,2020-04-26,1.0
מג'ד אל-כרום,15275,מספר מחלימים,0.0,2020-04-26,1.0
קרית אונו,37112,מספר מחלימים,30.0,2020-04-26,1.0
כפר קאסם,23517,מספר מחלימים,5.0,2020-04-26,1.0
ביר אל-מכסור,9866,מספר מחלימים,0.0,2020-04-26,1.0
צור יצחק,5954,מספר מחלימים,1.0,2020-04-26,1.0
ראש העין,53965,מספר מחלימים,19.0,2020-04-26,1.0
פתח תקווה,242478,מספר מחלימים,160.0,2020-04-26,1.0
חולון,185741,מספר מחלימים,92.0,2020-04-26,1.0
באר שבע,196755,מספר מחלימים,88.0,2020-04-26,1.0
מעלה עירון,14861,מספר מחלימים,3.0,2020-04-26,1.0
תל אביב - יפו,450192,מספר מחלימים,317.0,2020-04-26,1.0
הרצליה,90900,מספר מחלימים,67.0,2020-04-26,1.0
אריאל,18251,מספר מחלימים,4.0,2020-04-26,1.0
קרית ים,39556,מספר מחלימים,13.0,2020-04-26,1.0
מודיעין-מכבים-רעות,87108,מספר מחלימים,79.0,2020-04-26,1.0
דייר חנא,10567,מספר מחלימים,7.0,2020-04-26,1.0
ערד,26763,מספר מחלימים,6.0,2020-04-26,1.0
עפולה,50886,מספר מחלימים,41.0,2020-04-26,1.0
שערי תקווה,5584,מספר מחלימים,1.0,2020-04-26,1.0
כפר ורדים,5599,מספר מחלימים,3.0,2020-04-26,1.0
שדרות,25891,מספר מחלימים,22.0,2020-04-26,1.0
גבעתיים,55123,מספר מחלימים,21.0,2020-04-26,1.0
אכסאל,14655,מספר מחלימים,3.0,2020-04-26,1.0
נתניה,213971,מספר מחלימים,101.0,2020-04-26,1.0
כפר יונה,21301,מספר מחלימים,9.0,2020-04-26,1.0
להבים,6178,מספר מחלימים,5.0,2020-04-26,1.0
חיפה,272584,מספר מחלימים,73.0,2020-04-26,1.0
תל מונד,12593,מספר מחלימים,10.0,2020-04-26,1.0
שלומי,6478,מספר מחלימים,5.0,2020-04-26,1.0
נהריה,58750,מספר מחלימים,21.0,2020-04-26,1.0
אבו סנאן,13164,מספר מחלימים,0.0,2020-04-26,1.0
ראשון לציון,241010,מספר מחלימים,139.0,2020-04-26,1.0
נוף הגליל,43811,מספר מחלימים,18.0,2020-04-26,1.0
קדימה-צורן,20831,מספר מחלימים,8.0,2020-04-26,1.0
"בסמ""ה",10532,מספר מחלימים,2.0,2020-04-26,1.0
קרית עקרון,10600,מספר מחלימים,6.0,2020-04-26,1.0
באקה אל-גרביה,29035,מספר מחלימים,11.0,2020-04-26,1.0
רמת השרון,44896,מספר מחלימים,30.0,2020-04-26,1.0
יבנה,45555,מספר מחלימים,25.0,2020-04-26,1.0
רחובות,137178,מספר מחלימים,80.0,2020-04-26,1.0
אלפי מנשה,7771,מספר מחלימים,3.0,2020-04-26,1.0
צור הדסה,7856,מספר מחלימים,3.0,2020-04-26,1.0
קרני שומרון,7906,מספר מחלימים,4.0,2020-04-26,1.0
רמלה,75246,מספר מחלימים,37.0,2020-04-26,1.0
סח'נין,32089,מספר מחלימים,7.0,2020-04-26,1.0
כאבול,12102,מספר מחלימים,1.0,2020-04-26,1.0
כפר סבא,97412,מספר מחלימים,45.0,2020-04-26,1.0
עכו,50872,מספר מחלימים,12.0,2020-04-26,1.0
אורנית,8822,מספר מחלימים,3.0,2020-04-26,1.0
דימונה,35377,מספר מחלימים,19.0,2020-04-26,1.0
קרית שמונה,22152,מספר מחלימים,10.0,2020-04-26,1.0
טירת כרמל,22243,מספר מחלימים,12.0,2020-04-26,1.0
עין מאהל,13388,מספר מחלימים,3.0,2020-04-26,1.0
חדרה,94104,מספר מחלימים,29.0,2020-04-26,1.0
גן יבנה,22410,מספר מחלימים,21.0,2020-04-26,1.0
קלנסווה,22740,מספר מחלימים,1.0,2020-04-26,1.0
הוד השרון,59171,מספר מחלימים,28.0,2020-04-26,1.0
טמרה,33792,מספר מחלימים,12.0,2020-04-26,1.0
קרית ביאליק,39262,מספר מחלימים,7.0,2020-04-26,1.0
מזכרת בתיה,14949,מספר מחלימים,9.0,2020-04-26,1.0
פרדס חנה-כרכור,40622,מספר מחלימים,8.0,2020-04-26,1.0
אילת,56568,מספר מחלימים,13.0,2020-04-26,1.0
יקנעם עילית,22711,מספר מחלימים,12.0,2020-04-26,1.0
נס ציונה,45714,מספר מחלימים,11.0,2020-04-26,1.0
ג'ולס,6147,מספר מחלימים,1.0,2020-04-26,1.0
חורפיש,6288,מספר מחלימים,1.0,2020-04-26,1.0
קרית אתא,57108,מספר מחלימים,16.0,2020-04-26,1.0
עראבה,25876,מספר מחלימים,3.0,2020-04-26,1.0
יאנוח-ג'ת,6514,מספר מחלימים,0.0,2020-04-26,1.0
נצרת,78252,מספר מחלימים,7.0,2020-04-26,1.0
בית דגן,6533,מספר מחלימים,4.0,2020-04-26,1.0
טירה,26184,מספר מחלימים,3.0,2020-04-26,1.0
טובא-זנגריה,6648,מספר מחלימים,0.0,2020-04-26,1.0
קרית מוצקין,42870,מספר מחלימים,6.0,2020-04-26,1.0
רמת ישי,7236,מספר מחלימים,2.0,2020-04-26,1.0
נשר,22032,מספר מחלימים,2.0,2020-04-26,1.0
לקיה,14695,מספר מחלימים,0.0,2020-04-26,1.0
מעלות-תרשיחא,22261,מספר מחלימים,10.0,2020-04-26,1.0
מבשרת ציון,23093,מספר מחלימים,12.0,2020-04-26,1.0
אבו גוש,7792,מספר מחלימים,1.0,2020-04-26,1.0
קרית טבעון,15831,מספר מחלימים,3.0,2020-04-26,1.0
עילוט,8241,מספר מחלימים,1.0,2020-04-26,1.0
אבו רובייעה (שבט),8446,מספר מחלימים,0.0,2020-04-26,1.0
חצור הגלילית,9722,מספר מחלימים,2.0,2020-04-26,1.0
בועיינה-נוג'ידאת,9974,מספר מחלימים,1.0,2020-04-26,1.0
שפרעם,40666,מספר מחלימים,3.0,2020-04-26,1.0
ג'דיידה-מכר,20524,מספר מחלימים,0.0,2020-04-26,1.0
מגאר,22364,מספר מחלימים,7.0,2020-04-26,1.0
עספיא,12141,מספר מחלימים,3.0,2020-04-26,1.0
ירכא,15418,מספר מחלימים,0.0,2020-04-26,1.0
מסעודין אל-עזאזמה,16644,מספר מחלימים,0.0,2020-04-26,1.0
כפר קרע,18820,מספר מחלימים,5.0,2020-04-26,1.0
אור עקיבא,18893,מספר מחלימים,2.0,2020-04-26,1.0
יפיע,19056,מספר מחלימים,4.0,2020-04-26,1.0
בית שאן,19058,מספר מחלימים,1.0,2020-04-26,1.0
כפר מנדא,20003,מספר מחלימים,0.0,2020-04-26,1.0
תל שבע,19850,מספר מחלימים,1.0,2020-04-26,1.0
ערערה,19667,מספר מחלימים,2.0,2020-04-26,1.0
ערערה-בנגב,17465,מספר מחלימים,0.0,2020-04-26,1.0
דאלית אל-כרמל,16993,מספר מחלימים,0.0,2020-04-26,1.0
כסיפה,16957,מספר מחלימים,7.0,2020-04-26,1.0
ריינה,16614,מספר מחלימים,0.0,2020-04-26,1.0
טורעאן,14398,מספר מחלימים,0.0,2020-04-26,1.0
בנימינה-גבעת עדה,14383,מספר מחלימים,2.0,2020-04-26,1.0
אעבלין,13062,מספר מחלימים,0.0,2020-04-26,1.0
בית ג'ן,11757,מספר מחלימים,0.0,2020-04-26,1.0
מג'דל שמס,11089,מספר מחלימים,1.0,2020-04-26,1.0
כפר יאסיף,10577,מספר מחלימים,3.0,2020-04-26,1.0
שגב-שלום,10310,מספר מחלימים,0.0,2020-04-26,1.0
אעצם (שבט),10149,מספר מחלימים,0.0,2020-04-26,1.0
אבו רוקייק (שבט),9696,מספר מחלימים,0.0,2020-04-26,1.0
משהד,8649,מספר מחלימים,0.0,2020-04-26,1.0
כסרא-סמיע,8550,מספר מחלימים,0.0,2020-04-26,1.0
זרזיר,8385,מספר מחלימים,0.0,2020-04-26,1.0
ראמה,8243,מספר מחלימים,1.0,2020-04-26,1.0
בסמת טבעון,7833,מספר מחלימים,2.0,2020-04-26,1.0
עתלית,7442,מספר מחלימים,5.0,2020-04-26,1.0
זמר,6926,מספר מחלימים,3.0,2020-04-26,1.0
"בני עי""ש",6837,מספר מחלימים,5.0,2020-04-26,1.0
בוקעאתא,6586,מספר מחלימים,2.0,2020-04-26,1.0
אבו קורינאת (שבט),6235,מספר מחלימים,0.0,2020-04-26,1.0
פרדסיה,6027,מספר מחלימים,1.0,2020-04-26,1.0
כעביה-טבאש-חג'אג'רה,5780,מספר מחלימים,0.0,2020-04-26,1.0
בת חפר,5124,מספר מחלימים,1.0,2020-04-26,1.0
