,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop,ref,date
0,China,80652,+1,3070.0,,55552.0,22030,5489.0,56.0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
1,S. Korea,7041,+448,48.0,5.0,118.0,6875,36.0,137.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
2,Italy,5883,"+1,247",233.0,36.0,589.0,5061,567.0,97.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
3,Iran,5823,"+1,076",145.0,21.0,1669.0,4009,,69.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
4,France,949,+296,16.0,7.0,12.0,921,45.0,14.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
5,Germany,800,+130,,,18.0,782,9.0,9.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
6,Diamond Princess,696,,6.0,,245.0,445,32.0,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
7,Spain,503,+102,10.0,2.0,30.0,463,9.0,10.8,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
8,Japan,461,+41,6.0,,76.0,379,28.0,3.6,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
9,USA,434,+115,19.0,4.0,15.0,400,8.0,1.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
10,Switzerland,268,+54,1.0,,3.0,264,,31.0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
11,UK,209,+45,2.0,,18.0,189,,3.1,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
12,Netherlands,188,+60,1.0,,,187,1.0,11.0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
13,Belgium,169,+60,,,1.0,168,1.0,14.6,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
14,Sweden,161,+24,,,1.0,160,,15.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
15,Norway,156,+29,,,,156,,28.8,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
16,Singapore,138,+8,,,90.0,48,8.0,23.6,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
17,Hong Kong,108,,2.0,,51.0,55,6.0,14.4,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
18,Malaysia,93,+10,,,23.0,70,,2.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
19,Bahrain,85,+25,,,6.0,79,,50.0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
20,Austria,81,+15,,,2.0,79,1.0,9.0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
21,Australia,75,+12,3.0,1.0,22.0,50,1.0,2.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
22,Greece,66,+21,,,,66,1.0,6.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
23,Kuwait,61,+3,,,1.0,60,,14.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
24,Canada,60,+6,,,8.0,52,1.0,1.6,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
25,Iraq,54,+8,4.0,,1.0,49,,1.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
26,Thailand,50,+2,1.0,,31.0,18,1.0,0.7,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
27,Iceland,50,+5,,,1.0,49,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
28,Egypt,48,+33,,,1.0,47,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
29,Taiwan,45,,1.0,,15.0,29,,1.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
30,UAE,45,,,,7.0,38,2.0,4.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
31,India,34,+3,,,3.0,31,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
32,Lebanon,28,+6,,,1.0,27,3.0,4.1,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
33,Denmark,27,+6,,,1.0,26,,4.7,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
34,Czechia,26,+7,,,,26,,2.4,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
35,Israel,25,+4,,,3.0,22,1.0,2.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
36,San Marino,23,,1.0,,,22,4.0,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
37,Portugal,21,+8,,,,21,,2.1,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
38,Vietnam,20,+3,,,16.0,4,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
39,Algeria,19,+2,,,,19,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
40,Brazil,19,+6,,,,19,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
41,Finland,19,+4,,,1.0,18,,3.4,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
42,Ireland,19,+1,,,,19,,3.8,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
43,Palestine,19,+3,,,,19,,3.7,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
44,Oman,16,,,,2.0,14,,3.1,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
45,Russia,15,+2,,,3.0,12,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
46,Ecuador,14,+1,,,,14,1.0,0.8,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
47,Georgia,13,+4,,,,13,1.0,3.3,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
48,Romania,13,+4,,,3.0,10,,0.7,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
49,Croatia,12,+1,,,,12,,2.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
50,Qatar,12,+1,,,,12,,4.2,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
51,Slovenia,12,+4,,,,12,,5.8,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
52,Macao,10,,,,10.0,0,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
53,Estonia,10,,,,,10,,7.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
54,Argentina,9,+1,1.0,1.0,,8,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
55,Azerbaijan,9,,,,,9,,0.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
56,Saudi Arabia,7,+2,,,1.0,6,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
57,Philippines,6,+1,1.0,,2.0,3,1.0,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
58,Belarus,6,,,,,6,,0.6,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
59,Mexico,6,,,,1.0,5,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
60,Pakistan,6,,,,1.0,5,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
61,Peru,6,+5,,,,6,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
62,Poland,6,+1,,,,6,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
63,New Zealand,5,+1,,,,5,,1.0,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
64,Chile,5,,,,,5,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
65,Hungary,5,+1,,,,5,,0.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
66,Afghanistan,4,+3,,,,4,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
67,Indonesia,4,,,,,4,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
68,Senegal,4,,,,1.0,3,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
69,Luxembourg,3,,,,,3,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
70,North Macedonia,3,,,,,3,,1.4,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
71,Bosnia and Herzegovina,3,,,,,3,,0.9,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
72,Malta,3,+3,,,,3,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
73,Slovakia,3,+2,,,,3,,0.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
74,Cambodia,2,+1,,,1.0,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
75,Dominican Republic,2,,,,,2,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
76,Morocco,2,,,,,2,1.0,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
77,Bulgaria,2,+2,,,,2,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
78,Cameroon,2,,,,,2,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
79,Faeroe Islands,2,,,,,2,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
80,Maldives,2,+2,,,,2,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
81,South Africa,2,+1,,,,2,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
82,Andorra,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
83,Armenia,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
84,Jordan,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
85,Latvia,1,,,,1.0,0,,0.5,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
86,Lithuania,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
87,Monaco,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
88,Nepal,1,,,,1.0,0,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
89,Nigeria,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
90,Sri Lanka,1,,,,1.0,0,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
91,Tunisia,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
92,Ukraine,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
93,Bhutan,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
94,Colombia,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
95,Costa Rica,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
96,Gibraltar,1,,,,,1,1.0,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
97,Vatican City,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
98,Liechtenstein,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
99,Moldova,1,+1,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
100,Paraguay,1,+1,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
101,Serbia,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
102,Togo,1,,,,,1,,,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
103,Total:,106018,3974,3571.0,77.0,58659.0,43788,6259.0,13.6,https://web.archive.org/web/20200307/https://www.worldometers.info/coronavirus/,2020-03-07
