date,Country,StringencyIndex,r_values,R,Total Detected,Total Infected,Total Exposed,corona_days,prediction_ind,Currently Infected,Critical_condition,Recovery_Critical,Mortality_Critical,Doubling Time,temp_cr,New Detected,New Infected,New Exposed,serious_critical,new_cases,activecases
2020-03-12,israel,38.1,0.17999997820000013,0.17999997820000013,109.0,288.9753566796368,8761.779507133593,1,0,105.0,2.0,,,54.25728957453974,,12.0,,,2.0,12.0,105.0
2020-03-13,israel,52.38,0.4919265624942515,0.4919265624942515,126.0,439.32382187635096,9505.0635538262,2,0,122.0,2.0,,,20.071223568559564,,17.0,150.3484651967142,743.2840466926064,2.0,17.0,122.0
2020-03-14,israel,52.38,1.5554186016728861,1.5554186016728861,193.0,1326.6683960224814,14146.104626026805,3,0,189.0,3.0,,,6.579363268804619,,50.0,887.3445741461304,4641.041072200605,3.0,50.0,189.0
2020-03-15,israel,66.67,1.7626724762467,1.7626724762467,213.0,603.2044963251188,15685.6878512754,4,0,209.0,2.0,,,5.845036524758276,,20.0,-723.4638996973625,1539.5832252485943,2.0,20.0,209.0
2020-03-16,israel,76.19,2.5607945288376763,2.5607945288376763,298.0,1753.9524427150884,13410.180717682664,5,0,294.0,4.0,,,4.12634773140148,,85.0,1150.7479463899695,-2275.507133592735,4.0,85.0,294.0
2020-03-17,israel,85.71,2.8225394876908814,2.8225394876908814,337.0,1071.782101167315,17725.62905317769,6,0,326.0,5.0,,,3.7740309472768563,,39.0,-682.1703415477734,4315.448335495026,5.0,39.0,326.0
2020-03-19,israel,90.48,3.392272417751021,3.392272417751021,433.0,2109.5149156939037,19837.471681798528,7,0,422.0,6.0,,,3.1946879686178877,,96.0,1037.7328145265888,2111.842628620838,6.0,96.0,422.0
2020-03-20,israel,95.24,4.339293217548663,4.339293217548663,677.0,4796.961521833116,21352.238651102463,8,0,663.0,6.0,,,2.5673201900421536,,244.0,2687.4466061392127,1514.7669693039352,6.0,244.0,663.0
2020-03-21,israel,95.24,4.110084503147,4.110084503147,705.0,1386.8862948551664,19017.288370082144,9,0,689.0,10.0,,,2.692758049802245,,28.0,-3410.07522697795,-2334.9502810203194,10.0,28.0,689.0
2020-03-22,israel,95.24,3.5515569994223166,3.5515569994223166,883.0,4018.253350626891,17219.17509727626,10,0,846.0,15.0,,,3.0658652971715434,,178.0,2631.3670557717246,-1798.1132728058838,15.0,178.0,846.0
2020-03-23,israel,95.24,3.770124186653915,3.770124186653915,1071.0,4428.522265456117,20480.97016861219,11,0,1033.0,18.0,,,2.906749134597621,,188.0,410.26891482922565,3261.7950713359314,18.0,188.0,1033.0
2020-03-24,israel,95.24,3.664812589064983,3.664812589064983,1442.0,7843.910073497622,19437.146562905316,12,0,1400.0,29.0,,,2.9810558415969783,,371.0,3415.387808041505,-1043.8236057068752,29.0,371.0,1400.0
2020-03-25,israel,100.0,4.079905353736855,4.079905353736855,1930.0,10361.923043666233,17820.98400345871,13,0,1874.0,34.0,,,2.7103187110486897,,488.0,2518.012970168611,-1616.1625594466059,34.0,488.0,1874.0
2020-03-26,israel,100.0,3.965094702197481,3.965094702197481,2369.0,10165.205361003025,15028.461738002592,14,0,2306.0,37.0,,,2.7795558187709033,,439.0,-196.7176826632076,-2792.5222654561185,37.0,439.0,2306.0
2020-03-27,israel,100.0,3.111607059584586,3.111607059584586,2693.0,8761.779507133593,22292.233463035016,15,0,2617.0,46.0,,,3.4536536573564085,,324.0,-1403.425853869432,7263.771725032424,46.0,324.0,2617.0
2020-03-28,israel,100.0,3.2972001015006676,3.2972001015006676,3035.0,9505.0635538262,20899.832252485947,16,0,2944.0,49.0,,,3.2774882064933304,,342.0,743.2840466926064,-1392.4012105490692,49.0,342.0,2944.0
2020-03-29,israel,100.0,3.2309148113297352,3.2309148113297352,3619.0,14146.104626026805,19670.67531344574,17,0,3518.0,50.0,2.0,3.0,3.3380904354101206,,584.0,4641.041072200605,-1229.1569390402074,50.0,584.0,3518.0
2020-03-30,israel,100.0,3.1651937773098187,3.1651937773098187,4247.0,15685.6878512754,21276.010376134887,18,0,4100.0,74.0,3.0,4.0,3.400674432080592,,628.0,1539.5832252485943,1605.335062689148,74.0,628.0,4100.0
2020-03-31,israel,100.0,2.7285101843933104,2.7285101843933104,4695.0,13410.180717682664,25327.037706786643,19,0,4518.0,79.0,4.0,6.0,3.89283583958684,,448.0,-2275.507133592735,4051.0273306517556,79.0,448.0,4518.0
2020-04-01,israel,100.0,2.35321885262081,2.35321885262081,5358.0,17725.62905317769,25857.835400807147,20,0,5114.0,94.0,4.0,6.0,4.461341896789769,,663.0,4315.448335495026,530.7976940205044,94.0,663.0,5114.0
2020-04-02,israel,100.0,2.2137659773687637,2.2137659773687637,6092.0,19837.471681798528,26052.11775498122,21,0,5825.0,95.0,6.0,9.0,4.721604787756676,,734.0,2111.842628620838,194.28235417407268,95.0,734.0,5825.0
2020-04-03,israel,100.0,2.285308081382101,2.285308081382101,6857.0,21352.238651102463,26096.42682115565,22,0,6483.0,107.0,7.0,10.0,4.58412402019745,,765.0,1514.7669693039352,44.30906617442815,107.0,765.0,6483.0
2020-04-04,israel,100.0,2.192425489971733,2.192425489971733,7428.0,19017.288370082144,26043.059827412362,23,0,6985.0,113.0,9.0,13.0,4.764348684168524,,571.0,-2334.9502810203194,-53.366993743286,113.0,571.0,6985.0
2020-04-05,israel,100.0,1.9195393481369902,1.9195393481369902,7851.0,17219.17509727626,26162.562016913493,24,0,7380.0,115.0,14.0,20.0,5.394564863360469,,423.0,-1798.1132728058838,119.50218950113049,115.0,423.0,7380.0
2020-04-06,israel,100.0,1.759622016423529,1.759622016423529,8430.0,20480.97016861219,26406.710204305382,25,0,7904.0,139.0,14.0,21.0,5.854591638492131,,579.0,3261.7950713359314,244.14818739188922,139.0,579.0,7904.0
2020-04-07,israel,100.0,1.7131985914890042,1.7131985914890042,8904.0,19437.146562905316,26450.612198049814,26,0,8262.0,140.0,18.0,26.0,6.004200795880996,,474.0,-1043.8236057068752,43.90199374443182,140.0,474.0,8262.0
2020-04-08,israel,100.0,1.6093708309151342,1.6093708309151342,9248.0,17820.98400345871,26564.20699311483,27,0,8413.0,149.0,21.0,32.0,6.370012613926717,,344.0,-1616.1625594466059,113.5947950650152,149.0,344.0,8413.0
2020-04-09,israel,,1.428990541053158,1.428990541053158,9404.0,15028.461738002592,26773.439183493057,28,0,8530.0,147.0,29.0,43.0,7.131810585116288,,156.0,-2792.5222654561185,209.23219037822855,147.0,156.0,8530.0
2020-04-10,israel,,1.2795100153114607,1.2795100153114607,9968.0,22292.233463035016,27132.43425937632,29,0,8871.0,166.0,39.0,58.0,7.925723136310392,,564.0,7263.771725032424,358.9950758832638,166.0,564.0,8871.0
2020-04-11,israel,,1.2665583207182705,1.2665583207182705,10408.0,20899.832252485947,27113.77360842532,30,0,9130.0,124.0,47.0,71.0,8.003327352129796,,440.0,-1392.4012105490692,-18.660650951002026,124.0,440.0,9130.0
2020-04-12,israel,,1.287858051146216,1.287858051146216,10743.0,19670.67531344574,27171.267051928182,31,0,9301.0,175.0,54.0,81.0,7.876529986424105,,335.0,-1229.1569390402074,57.49344350286265,175.0,335.0,9301.0
2020-04-13,israel,,1.2913332888359217,1.2913332888359217,11145.0,21276.010376134887,27290.01911227162,32,1,9415.0,183.0,,,7.856238556765852,,402.0,1605.335062689148,118.75206034343864,183.0,402.0,9415.0
2020-04-14,israel,,,1.228412637797786,11750.256455394938,25327.037706786643,27338.97936710633,33,1,8131.256455394938,350.0,70.0,105.0,8.241390970237848,,605.2564553949378,4051.0273306517556,48.96025483471021,,,
2020-04-15,israel,,,1.1693386176574225,12339.541014735662,25857.835400807147,27222.005934537752,34,1,8092.5410147356615,359.0,82.0,124.0,8.640700447733268,,589.2845593407237,530.7976940205044,-116.97343256857857,,,
2020-04-16,israel,,,1.1131054506214364,12894.626111681331,26052.11775498122,27095.854966330986,35,1,8199.626111681331,386.0,90.0,135.0,9.060161398959403,,555.0850969456696,194.28235417407268,-126.15096820676627,,,
2020-04-17,israel,,,1.0595765208586807,13409.476319404026,26096.42682115565,26974.443036433808,36,1,8051.476319404026,401.0,103.0,154.0,9.50079277143742,,514.8502077226949,44.30906617442815,-121.4119298971782,,,
2020-04-18,israel,,,1.0086217823551147,13881.545629698096,26043.059827412362,26862.94136950165,37,1,7789.545629698096,409.0,116.0,174.0,9.963664954900274,,472.0693102940695,-53.366993743286,-111.50166693215942,,,
2020-04-19,israel,,,0.9601174429731361,14324.128610276395,26162.562016913493,26763.905845420486,38,1,7467.128610276395,398.0,130.0,196.0,10.449902380965948,,442.5829805782996,119.50218950113049,-99.0355240811623,,,
2020-04-20,israel,,,0.9139456637044129,14746.706311988044,26406.710204305382,26670.563646503026,39,1,7318.706311988044,402.0,140.0,210.0,10.960686254162738,,422.57770171164884,244.14818739188922,-93.34219891746034,,,
2020-04-21,israel,,,0.869994272385562,15139.241905685996,26450.612198049814,26578.61260192514,40,1,7288.241905685996,402.0,143.0,215.0,11.49725742093632,,392.5355936979522,43.90199374443182,-91.95104457788693,,,
2020-04-22,israel,,,0.8281564911811605,15508.081624134471,26564.20699311483,26494.039679348156,41,1,7078.081624134471,402.0,154.0,232.0,12.060919383606427,,368.83971844847474,113.5947950650152,-84.57292257698282,,,
2020-04-23,israel,,,0.788330677172023,15860.58265169919,26773.439183493057,26414.253993321683,42,1,6956.582651699189,406.0,160.0,241.0,12.653041466591027,,352.50102756471824,209.23219037822855,-79.78568602647283,,,
2020-04-24,israel,,,0.7504200754185164,16206.664740301618,27132.43425937632,26336.33290439607,43,1,6958.664740301618,407.0,164.0,245.0,13.275062142587085,,346.0820886024285,358.9950758832638,-77.92108892561373,,,
2020-04-25,israel,,,0.7143325838989901,16524.984847731557,27113.77360842532,26256.41579658073,44,1,7120.984847731557,405.0,159.0,239.0,13.9284925267857,,318.3201074299395,-18.660650951002026,-79.91710781533766,,,
2020-04-26,israel,,,0.6799805297522521,16822.0870332492,27171.267051928182,26184.123782872768,45,1,6854.087033249201,410.0,161.0,241.0,14.614920047607939,,297.1021855176441,57.49344350286265,-72.29201370796363,,,
2020-04-27,israel,,,0.6472804562804811,17103.149478152794,27290.01911227162,26116.99823203814,46,1,6695.1494781527945,403.0,161.0,241.0,15.336012302875217,,281.06244490359313,118.75206034343864,-67.1255508346294,,,
2020-04-28,israel,,,0.6161529201951098,17365.373135290138,27338.97936710633,26053.259830324303,47,1,6622.373135290138,389.0,161.0,242.0,16.093521110782255,,262.22365713734325,48.96025483471021,-63.73840171383563,,,
2020-04-29,israel,,,0.5865222986130959,17600.615359723914,27222.005934537752,25994.14507962049,48,1,6455.615359723914,373.0,162.0,243.0,16.88928676550866,,235.24222443377585,-116.97343256857857,-59.114750703811296,,,
2020-04-30,israel,,,0.5583166053346896,17810.42572891729,27095.854966330986,25942.585270232295,49,1,6060.169273522351,366.0,163.0,244.0,17.72524250780907,,209.81036919337566,-126.15096820676627,-51.5598093881963,,,
2020-05-01,israel,,,0.5314673159563512,17997.03907379955,26974.443036433808,25897.996828608397,50,1,5657.49805906389,364.0,162.0,243.0,18.603419221437733,,186.61334488226203,-121.4119298971782,-44.58844162389869,,,
2020-05-02,israel,,,0.5059092013939394,18162.81694590104,26862.94136950165,25859.58048742023,51,1,5268.1908342197075,354.0,164.0,246.0,19.525950366816982,,165.77787210148745,-111.50166693215942,-38.41634118816728,,,
2020-05-03,israel,,,0.48158016941172327,18310.08661488351,26763.905845420486,25826.52601836888,52,1,4900.610295479482,348.0,161.0,242.0,20.495077163933615,,147.26966898246974,-99.0355240811623,-33.05446905134886,,,
2020-05-04,israel,,,0.45842111377222006,18440.604279735027,26670.563646503026,25798.068530095323,53,1,4559.058650036932,348.0,156.0,234.0,21.51315403705241,,130.51766485151893,-93.34219891746034,-28.45748827355783,,,
2020-05-05,israel,,,0.43637577064037425,18555.741963473778,26578.61260192514,25773.63590730541,54,1,4231.613353197383,356.0,149.0,224.0,22.582654334473528,,115.13768373875064,-91.95104457788693,-24.432622789914603,,,
2020-05-06,israel,,,0.4153905818932201,18657.112102548257,26494.039679348156,25752.780520915432,55,1,3910.405790560213,343.0,146.0,220.0,23.70617633722713,,101.37013907447908,-84.57292257698282,-20.855386389976047,,,
2020-05-07,israel,,,0.39541456500294386,18746.052996605613,26414.253993321683,25735.013813578502,56,1,3606.8110909196166,335.0,146.0,219.0,24.886449571303014,,88.94089405735576,-79.78568602647283,-17.766707336930267,,,
2020-05-08,israel,,,0.37639918917723364,18823.630760764023,26336.33290439607,25719.937151429956,57,1,3315.549136629552,331.0,142.0,212.0,26.126341438747918,,77.57776415840999,-77.92108892561373,-15.076662148545438,,,
2020-05-09,israel,,,0.3582982574560048,18890.606072546398,26256.41579658073,25707.233031647265,58,1,3030.0234208472084,323.0,139.0,209.0,27.428864183740643,,66.97531178237477,-79.91710781533766,-12.704119782691123,,,
2020-05-10,israel,,,0.3410677944780608,18948.23730209769,26184.123782872768,25696.664002024605,59,1,2741.5725617960707,303.0,139.0,209.0,28.79718221056546,,57.631229551290744,-72.29201370796363,-10.56902962266031,,,
2020-05-11,israel,,,0.32466593964502466,18997.543628873562,26116.99823203814,25687.90219665085,60,1,2472.5587811420046,283.0,142.0,214.0,30.23461977126461,,49.30632677587346,-67.1255508346294,-8.761805373753305,,,
2020-05-12,israel,,,0.3090528454229857,19039.362764775913,26053.259830324303,25680.686538795002,61,1,2217.2757315267118,263.0,137.0,206.0,31.744669041641124,,41.81913590235126,-63.73840171383563,-7.215657855849713,,,
2020-05-13,israel,,,0.29419058053479313,19074.539334840745,25994.14507962049,25674.80537551351,62,1,1971.3898566879507,245.0,134.0,201.0,33.33099860523768,,35.17657006483205,-59.114750703811296,-5.881163281490444,,,
2020-05-14,israel,,,0.28004303780780404,19104.022345375706,25942.585270232295,25670.058850551683,63,1,1738.6492100855685,228.0,132.0,199.0,34.99746236589513,,29.483010534961068,-51.5598093881963,-4.746524961828982,,,
2020-05-15,israel,,,0.2665758464532081,19128.65388916152,25897.996828608397,25666.24309519632,64,1,1528.0385294376065,212.0,129.0,194.0,36.748108910547586,,24.631543785813847,-44.58844162389869,-3.815755355361034,,,
2020-05-16,israel,,,0.2537562885638146,19149.16491599224,25859.58048742023,25663.186059369706,65,1,1338.7391870749525,196.0,121.0,182.0,38.587191345000015,,20.511026830721676,-38.41634118816728,-3.057035826615902,,,
2020-05-17,israel,,,0.24155321962743792,19166.18316798142,25826.52601836888,25660.745282373864,66,1,1169.1440941818691,180.0,113.0,170.0,40.519177626576045,,17.01825198917868,-33.05446905134886,-2.4407769958415884,,,
2020-05-18,israel,,,0.2299369928627717,19180.243758482815,25798.068530095323,25658.803906170317,67,1,1017.4268125817762,166.0,105.0,158.0,42.54876141875154,,14.060590501394472,-28.45748827355783,-1.9413762035474065,,,
2020-05-19,israel,,,0.21887938719392966,19191.807461043725,25773.63590730541,25657.266689136613,68,1,881.7208461602168,152.0,98.0,147.0,44.680873494127255,,11.563702560910315,-24.432622789914603,-1.5372170337032003,,,
2020-05-20,israel,,,0.20835353868867104,19201.27363941919,25752.780520915432,25656.055443413006,69,1,760.6693596841615,137.0,91.0,137.0,46.9206937134611,,9.466178375463642,-20.855386389976047,-1.211245723607135,,,
2020-05-21,israel,,,0.19833387529374213,19208.982615590146,25735.013813578502,25655.1057292371,70,1,653.2406521163684,124.0,85.0,127.0,49.27366360984559,,7.708976170957612,-17.766707336930267,-0.9497141759056831,,,
2020-05-22,israel,,,0.18879605470877717,19215.225421709583,25719.937151429956,25654.365200794302,71,1,558.1133191613262,111.0,78.0,117.0,51.74549960861352,,6.242806119436864,-15.076662148545438,-0.7405284427986771,,,
2020-05-23,israel,,,0.1797169052478259,19220.252291750778,25707.233031647265,25653.791260563743,72,1,474.1992951451648,99.0,72.0,108.0,54.342206915086365,,5.026870041194343,-12.704119782691123,-0.5739402305589465,,,
2020-05-24,israel,,,0.17107436954483396,19224.280435973866,25696.664002024605,25653.34914330433,73,1,400.6496752098428,87.0,66.0,99.0,57.070094103900296,,4.02814422308802,-10.56902962266031,-0.4421172594120435,,,
2020-05-25,israel,,,0.16284745096631062,19227.491358881616,25687.90219665085,25653.010317510627,74,1,336.88528633521855,76.0,61.0,91.0,59.93578844535851,,3.2109229077505006,-8.761805373753305,-0.338825793704018,,,
2020-05-26,israel,,,0.15501616260099646,19230.037474217665,25680.686538795002,25652.75210142997,75,1,281.8001721199762,67.0,55.0,82.0,62.94625200604756,,2.5461153360483877,-7.215657855849713,-0.2582160806559841,,,
2020-05-27,israel,,,0.14756147870260386,19232.04720579455,25674.80537551351,25652.556414523937,76,1,234.50357692098987,58.0,49.0,74.0,66.10879856281649,,2.009731576887134,-5.881163281490444,-0.19568690603409777,,,
2020-05-28,israel,,,0.14046528846766232,19233.627519260943,25670.058850551683,25652.408827997893,77,1,194.2647544850297,51.0,44.0,67.0,69.43111137123213,,1.5803134663910896,-4.746524961828982,-0.14758652604359668,,,
