date,Country,StringencyIndex,r_values,R,Total Detected,Total Infected,Total Exposed,corona_days,prediction_ind,Currently Infected,Critical_condition,Recovery_Critical,Mortality_Critical,Doubling Time,temp_cr,New Detected,New Infected,New Exposed,serious_critical,new_cases,activecases
2020-05-29,israel,,,0.13371035203617423,19234.86534450565,25666.24309519632,25652.297953582136,78,1,160.32600966490645,44.0,39.0,59.0,72.92126183166758,,1.2378252447088016,-3.815755355361034,-0.11087441575728008,,,
2020-05-30,israel,,,0.12728025860818698,19235.83096032732,25663.186059369706,25652.214990260218,79,1,131.80861495161298,38.0,35.0,52.0,76.58772909836259,,0.9656158216675976,-3.057035826615902,-0.0829633219182142,,,
2020-05-31,israel,,,0.12115938657452718,19236.58098923935,25660.745282373864,25652.153170634585,80,1,107.92710007783171,33.0,31.0,46.0,80.43942067911726,,0.750028912032576,-2.4407769958415884,-0.06181962563277921,,,
2020-06-01,israel,,,0.11533286556483704,19237.160930843296,25658.803906170317,25652.107309461775,81,1,87.9960148510545,28.0,27.0,40.0,84.48569407564167,,0.5799416039444623,-1.9413762035474065,-0.045861172809964046,,,
2020-06-02,israel,,,0.10978654032070963,19237.607269374603,25657.266689136613,25652.07344540483,82,1,71.42410139318235,24.0,23.0,35.0,88.73637951715378,,0.44633853130653733,-1.5372170337032003,-0.03386405694618588,,,
2020-06-03,israel,,,0.1045069363061553,19237.949154921178,25656.055443413006,25652.048559967843,83,1,57.705396438363096,20.0,20.0,31.0,93.20180384244051,,0.3418855465752131,-1.211245723607135,-0.024885436985641718,,,
2020-06-04,israel,,,0.09948122697185117,19238.20976386989,25655.1057292371,25652.030361948237,84,1,46.402302826165396,17.0,18.0,26.0,97.89281558842316,,0.26060894871261553,-0.9497141759056831,-0.018198019606643356,,,
2020-06-05,israel,,,0.09469720259364335,19238.407458811453,25654.365200794302,25652.017120771838,85,1,37.13381939226383,14.0,15.0,23.0,102.8208113461432,,0.19769494156207656,-0.7405284427986771,-0.013241176398878451,,,
2020-06-06,israel,,,0.0901432406095972,19238.556723379188,25653.791260563743,25652.007534317432,86,1,29.57410778904159,12.0,13.0,20.0,107.99776344823927,,0.1492645677353721,-0.5739402305589465,-0.009586454405507538,,,
2020-06-07,israel,,,0.0858082773835305,19238.668914218226,25653.34914330433,25652.000627438465,87,1,23.44349250864252,10.0,11.0,17.0,113.43624905515556,,0.11219083903779392,-0.4421172594120435,-0.00690687896712916,,,
2020-06-08,israel,,,0.08168178132643035,19238.752862542053,25653.010317510627,25651.995674159603,88,1,18.500570791275095,8.0,9.0,14.0,119.14948071075884,,0.08394832382691675,-0.338825793704018,-0.004953278861648869,,,
2020-06-09,israel,,,0.07775372731045349,19238.81540710525,25652.75210142997,25651.992138205012,89,1,14.534971131382918,7.0,8.0,12.0,125.15133844157317,,0.06254456319584278,-0.2582160806559841,-0.003535954590915935,,,
2020-06-10,israel,,,0.07401457231335051,19238.86181388728,25652.556414523937,25651.98962515674,90,1,11.370455005664553,5.0,7.0,10.0,131.45640347764507,,0.04640678203213611,-0.19568690603409777,-0.002513048271794105,,,
2020-06-11,israel,,,0.07045523223414253,19238.89610851555,25652.408827997893,25651.987846551816,91,1,8.858634297885146,4.0,6.0,8.0,138.0799936769598,,0.03429462826898089,-0.14758652604359668,-0.001778604924766114,,,
2020-06-12,israel,,,0.06706705982372578,19238.921347714888,25652.297953582136,25651.98659286378,92,1,6.874141920336115,4.0,5.0,7.0,145.03820073943658,,0.02523919933810248,-0.11087441575728008,-0.0012536880349216517,,,
2020-06-13,israel,,,0.06384182367678708,19238.939843617867,25652.214990260218,25651.985712865386,93,1,5.312324356924364,3.0,4.0,6.0,152.34792930096117,,0.018495902979339007,-0.0829633219182142,-0.0008799983952485491,,,
2020-06-14,israel,,,0.06077168823399227,19238.953338766874,25652.153170634585,25651.985097830293,94,1,4.087994261222775,2.0,3.0,5.0,160.026938002394,,0.013495149007212603,-0.06181962563277921,-0.0006150350927782711,,,
2020-06-15,israel,,,0.05784919474586379,19238.963141517575,25652.107309461775,25651.984669880945,95,1,3.132181190256233,2.0,3.0,4.0,168.09388263332875,,0.00980275070105563,-0.045861172809964046,-0.0004279493477952201,,,
2020-06-16,israel,,,0.05506724315210013,19238.970230287105,25652.07344540483,25651.984373450206,96,1,2.3892410477528756,1.0,2.0,3.0,176.56836145550454,,0.007088769529218553,-0.03386405694618588,-0.0002964307386719156,,,
2020-06-17,israel,,,0.052419074832313645,19238.97533351211,25652.048559967843,25651.984169052674,97,1,1.8144026688132726,1.0,2.0,3.0,185.4709628157913,,0.005103225004859269,-0.024885436985641718,-0.0002043975327978842,,,
2020-06-18,israel,,,0.04989825618628058,19238.978990977983,25652.030361948237,25651.98402875585,98,1,1.3717216033801378,1.0,1.0,2.0,194.82331516463006,,0.0036574658734025434,-0.018198019606643356,-0.00014029682279215194,,,
2020-06-19,israel,,,0.04749866300381238,19238.981600782212,25652.017120771838,25651.983932892996,99,1,1.0324458610339207,1.0,1.0,2.0,204.64813960137414,,0.0026098042289959267,-0.013241176398878451,-9.586285523255356e-05,,,
2020-06-20,israel,,,0.04521446558627535,19238.98345503381,25652.007534317432,25651.983867682677,100,1,0.7736911639185564,1.0,1.0,1.0,214.96930507405733,,0.0018542515972512774,-0.009586454405507538,-6.521031900774688e-05,,,
2020-06-21,israel,,,0.04304011458361244,19238.98476693233,25652.000627438465,25651.983823516544,101,1,0.5773081208790245,0.0,1.0,1.0,225.81188636791546,,0.0013118985225446522,-0.00690687896712916,-4.416613228386268e-05,,,
2020-06-22,israel,,,0.04097032751245858,19238.985691260128,25651.995674159603,25651.983793730662,102,1,0.4289678809400357,0.0,1.0,1.0,237.20222502339266,,0.0009243277963832952,-0.004953278861648869,-2.9785882361466065e-05,,,
2020-06-23,israel,,,0.03900007592259609,19238.986339855677,25651.992138205012,25651.983773727057,103,1,0.31742563745137886,0.0,0.0,1.0,249.16799333168154,,0.0006485955491370987,-0.003535954590915935,-2.000360473175533e-05,,,
2020-06-24,israel,,,0.03712457318057171,19238.986793127493,25651.98962515674,25651.983760348467,104,1,0.23393058544024825,0.0,0.0,1.0,261.7382615632013,,0.0004532718157861382,-0.002513048271794105,-1.3378590665524825e-05,,,
2020-06-25,israel,,,0.03533926284079605,19238.987108604222,25651.987846551816,25651.9837514373,105,1,0.17170149897356168,0.0,0.0,0.0,274.9435685925051,,0.0003154767291562166,-0.001778604924766114,-8.91116724233143e-06,,,
2020-06-26,israel,,,0.033639807575873544,19238.987327263185,25651.98659286378,25651.983745526144,106,1,0.12551337590412004,0.0,0.0,0.0,288.815996090986,,0.0002186589626944624,-0.0012536880349216517,-5.911155312787741e-06,,,
2020-06-27,israel,,,0.03202207863926989,19238.987478177634,25651.985712865386,25651.98374162142,107,1,0.09136966208461672,0.0,0.0,0.0,303.3892464678853,,0.00015091444947756827,-0.0008799983952485491,-3.9047226891852915e-06,,,
2020-06-28,israel,,,0.030482145834716694,19238.987581892176,25651.985097830293,25651.983739053077,108,1,0.0662341772876971,0.0,0.0,0.0,318.69872474858664,,0.00010371454118285328,-0.0006150350927782711,-2.5683439162094146e-06,,,
2020-06-29,israel,,,0.029016267967984774,19238.987652864154,25651.984669880945,25651.98373737099,109,1,0.0478092462872155,0.0,0.0,0.0,334.7816245894661,,7.09719788574148e-05,-0.0004279493477952201,-1.6820886230561882e-06,,,
2020-06-30,israel,,,0.02762088375782893,19238.987701223086,25651.984373450206,25651.983736274044,110,1,0.034362456211965764,0.0,0.0,0.0,351.67701863818786,,4.8358931962866336e-05,-0.0002964307386719156,-1.0969451977871358e-06,,,
2020-07-01,israel,,,0.026292603184022902,19238.987734034257,25651.984169052674,25651.98373556188,111,1,0.024592516681877896,0.0,0.0,0.0,369.42595345894864,,3.281117096776143e-05,-0.0002043975327978842,-7.121634553186595e-07,,,
2020-07-02,israel,,,0.025028199251464833,19238.987756203023,25651.98402875585,25651.98373510143,112,1,0.017525915918668034,0.0,0.0,0.0,388.07154925292184,,2.216876600869e-05,-0.00014029682279215194,-4.604517016559839e-07,,,
2020-07-03,israel,,,0.023824600150344665,19238.987771119308,25651.983932892996,25651.983734804984,113,1,0.012437607198080514,0.0,0.0,0.0,407.6591046169408,,1.4916284271748737e-05,-9.586285523255356e-05,-2.964443410746753e-07,,,
2020-07-04,israel,,,0.022678881793326878,19238.98778111476,25651.983867682677,25651.983734614947,114,1,0.00879013677695184,0.0,0.0,0.0,428.236206594246,,9.995452273869887e-06,-6.521031900774688e-05,-1.900370989460498e-07,,,
2020-07-05,israel,,,0.02158826071161797,19238.987787785656,25651.983823516544,25651.98373449356,115,1,0.006187003444210859,0.0,0.0,0.0,449.852846285127,,6.670896254945546e-06,-4.416613228386268e-05,-1.2138843885622919e-07,,,
2020-07-06,israel,,,0.02055008729266014,19238.987792219858,25651.983793730662,25651.9837344164,116,1,0.004337186048360309,0.0,0.0,0.0,472.56154029751036,,4.434201400727034e-06,-2.9785882361466065e-05,-7.715789251960814e-08,,,
2020-07-07,israel,,,0.01956183934302233,19238.987795155474,25651.983773727057,25651.983734367535,117,1,0.0030282231418823358,0.0,0.0,0.0,496.4174583341479,,2.9356160666793585e-06,-2.000360473175533e-05,-4.886533133685589e-08,,,
2020-07-08,israel,,,0.01862111596085009,19238.987797091137,25651.983760348467,25651.98373433677,118,1,0.0021058310085209087,0.0,0.0,0.0,521.4785572244322,,1.935663021868095e-06,-1.3378590665524825e-05,-3.0766386771574616e-08,,,
2020-07-09,israel,,,0.017725631702987563,19238.987798362272,25651.9837514373,25651.983734317357,119,1,0.0014585065946448594,0.0,0.0,0.0,547.8057217277775,,1.2711352610494941e-06,-8.91116724233143e-06,-1.941225491464138e-08,,,
2020-07-10,israel,,,0.01687321103260097,19238.98779919359,25651.983745526144,25651.983734305253,120,1,0.0010060660970339086,0.0,0.0,0.0,575.4629124506371,,8.313181751873344e-07,-5.911155312787741e-06,-1.2103555491194129e-08,,,
2020-07-11,israel,,,0.016061783033814333,19238.987799735023,25651.98374162142,25651.98373429771,121,1,0.0006911308009875938,0.0,0.0,0.0,604.5173212353338,,5.414331099018455e-07,-3.9047226891852915e-06,-7.541530067101121e-09,,,
2020-07-12,israel,,,0.01528937638051687,19238.987800086197,25651.983739053077,25651.983734293026,122,1,0.00047282301238738,0.0,0.0,0.0,635.0395343996619,,3.5117409424856305e-07,-2.5683439162094146e-06,-4.685716703534126e-09,,,
2020-07-13,israel,,,0.01455411454711905,19238.98780031303,25651.98373737099,25651.98373429015,123,1,0.0003221353945264127,0.0,0.0,0.0,667.1037042232716,,2.268316166009754e-07,-1.6820886230561882e-06,-2.877641236409545e-09,,,
2020-07-14,israel,,,0.013854211249622043,19238.98780045894,25651.983736274044,25651.983734288384,124,1,0.00021856676539755426,0.0,0.0,0.0,700.7877290965313,,1.4591205399483442e-07,-1.0969451977871358e-06,-1.7644197214394808e-09,,,
2020-07-15,israel,,,0.01318796610592486,19238.987800552422,25651.98373556188,25651.983734287267,125,1,0.0001476882680435665,0.0,0.0,0.0,736.1734427718122,,9.348150342702866e-08,-7.121634553186595e-07,-1.1168594937771559e-09,,,
2020-07-16,israel,,,0.012553760504826119,19238.98780061207,25651.98373510143,25651.98373428661,126,1,9.938898438122123e-05,0.0,0.0,0.0,773.3468131738377,,5.964830052107573e-08,-4.604517016559839e-07,-6.584741640836e-10,,,
2020-07-17,israel,,,0.011950053673684354,19238.98780064998,25651.983734804984,25651.983734286205,127,1,6.66157211526297e-05,0.0,0.0,0.0,812.3981512556289,,3.790773916989565e-08,-2.964443410746753e-07,-4.0381564758718014e-10,,,
2020-07-18,israel,,,0.011375378935183445,19238.987800673975,25651.983734614947,25651.983734285946,128,1,4.447095125215128e-05,0.0,0.0,0.0,853.4223304035809,,2.399610821157694e-08,-1.900370989460498e-07,-2.582964953035116e-10,,,
2020-07-19,israel,,,0.010828340144109145,19238.9878006891,25651.98373449356,25651.983734308313,129,1,2.956979369628243e-05,0.0,0.0,0.0,896.5190169295754,,1.5126715879887342e-08,-1.2138843885622919e-07,2.236629370599985e-08,,,
2020-07-20,israel,,,0.010307608295480029,19238.9878006986,25651.9837344164,25651.983734301513,130,1,1.958384018507786e-05,0.0,0.0,0.0,941.7929122036903,,9.498762665316463e-09,-7.715789251960814e-08,-6.7993823904544115e-09,,,
2020-07-21,israel,,,0.00981191829579248,19238.98780070454,25651.983734367535,25651.983734297453,131,1,1.2918884749524295e-05,0.0,0.0,0.0,989.3540070222032,,5.940819391980767e-09,-4.886533133685589e-08,-4.059984348714352e-09,,,
2020-07-22,israel,,,0.009340065889535601,19238.987800708244,25651.98373433677,25651.983734295067,132,1,8.488386811222881e-06,0.0,0.0,0.0,1039.317848825415,,3.7034624256193638e-09,-3.0766386771574616e-08,-2.3865140974521637e-09,,,
2020-07-23,israel,,,0.008890904733509156,19238.98780071054,25651.983734317357,25651.983734293703,133,1,5.5550663091707975e-06,0.0,0.0,0.0,1091.8058224141844,,2.295564627274871e-09,-1.941225491464138e-08,-1.3642420526593924e-09,,,
2020-07-24,israel,,,0.008463343611836757,19238.98780071196,25651.983734305253,25651.983734292895,134,1,3.6208220990374684e-06,0.0,0.0,0.0,1146.945444848343,,1.418811734765768e-09,-1.2103555491194129e-08,-8.076312951743603e-10,,,
2020-07-25,israel,,,0.008056343784908274,19238.98780071283,25651.98373429771,25651.983734292495,135,1,2.3505599529016763e-06,0.0,0.0,0.0,1204.8706752435332,,8.731149137020111e-10,-7.541530067101121e-09,-4.001776687800884e-10,,,
2020-07-26,israel,,,0.007668916465810872,19238.987800713367,25651.983734293026,25651.98373429224,136,1,1.5197765605989844e-06,0.0,0.0,0.0,1265.7222402200298,,5.347828846424818e-10,-4.685716703534126e-09,-2.546585164964199e-10,,,
2020-07-27,israel,,,0.007300120418117774,19238.987800713694,25651.98373429015,25651.98373429214,137,1,9.786708687897772e-07,0.0,0.0,0.0,1329.6479757887494,,3.2741809263825417e-10,-2.877641236409545e-09,-1.0186340659856796e-10,,,
2020-07-28,israel,,,0.006949059669198682,19238.987800713894,25651.983734288384,25651.98373429208,138,1,6.276968633756042e-07,0.0,0.0,0.0,1396.8031865139776,,2.000888343900442e-10,-1.7644197214394808e-09,-5.820766091346741e-11,,,
2020-07-29,israel,,,0.006614881333496469,19238.987800714014,25651.983734287267,25651.98373429213,139,1,4.009853000752628e-07,0.0,0.0,0.0,1467.351022817027,,1.2005330063402653e-10,-1.1168594937771559e-09,5.093170329928398e-11,,,
2020-07-30,israel,,,0.006296773540481878,19238.987800714087,25651.98373428661,25651.983734292116,140,1,2.551460056565702e-07,0.0,0.0,0.0,1541.4628773448794,,7.275957614183426e-11,-6.584741640836e-10,-1.4551915228366852e-11,,,
2020-07-31,israel,,,0.005993963462252313,19238.98780071413,25651.983734286205,25651.983734292156,141,1,1.6170815797522664e-07,0.0,0.0,0.0,1619.3188013578854,,4.3655745685100555e-11,-4.0381564758718014e-10,4.001776687800884e-11,,,
2020-08-01,israel,,,0.005705715435982834,19238.987800714156,25651.983734285946,25651.983734292255,142,1,1.0208532330580056e-07,0.0,0.0,0.0,1701.1079421554884,,2.546585164964199e-11,-2.582964953035116e-10,9.822542779147625e-11,,,
2020-08-02,israel,,,0.0,19238.987800715473,25651.983734308313,,143,1,6.549453246407211e-08,0.0,0.0,0.0,inf,,1.3169483281672e-09,2.236629370599985e-08,,,,
2020-08-03,israel,,,0.0,19238.987800716295,25651.983734301513,,144,1,4.23206074628979e-08,0.0,0.0,0.0,inf,,8.221832104027271e-10,-6.7993823904544115e-09,,,,
2020-08-04,israel,,,0.0,19238.98780071682,25651.983734297453,,145,1,2.771776053123176e-08,0.0,0.0,0.0,inf,,5.238689482212067e-10,-4.059984348714352e-09,,,,
2020-08-05,israel,,,0.0,19238.987800717165,25651.983734295067,,146,1,1.856460585258901e-08,0.0,0.0,0.0,inf,,3.4560798667371273e-10,-2.3865140974521637e-09,,,,
2020-08-06,israel,,,0.0,19238.987800717405,25651.983734293703,,147,1,1.2863893061876297e-08,0.0,0.0,0.0,inf,,2.4010660126805305e-10,-1.3642420526593924e-09,,,,
2020-08-07,israel,,,0.0,19238.98780071758,25651.983734292895,,148,1,9.335053618997335e-09,0.0,0.0,0.0,inf,,1.7462298274040222e-10,-8.076312951743603e-10,,,,
2020-08-08,israel,,,0.0,19238.987800717718,25651.983734292495,,149,1,7.17773218639195e-09,0.0,0.0,0.0,inf,,1.382431946694851e-10,-4.001776687800884e-10,,,,
2020-08-09,israel,,,0.0,19238.98780071783,25651.98373429224,,150,1,5.871697794646025e-09,0.0,0.0,0.0,inf,,1.127773430198431e-10,-2.546585164964199e-10,,,,
2020-08-10,israel,,,0.0,19238.98780071793,25651.98373429214,,151,1,5.09680830873549e-09,0.0,0.0,0.0,inf,,9.822542779147625e-11,-1.0186340659856796e-10,,,,
2020-08-11,israel,,,0.0,19238.987800718016,25651.98373429208,,152,1,4.649336915463209e-09,0.0,0.0,0.0,inf,,8.731149137020111e-11,-5.820766091346741e-11,,,,
2020-08-12,israel,,,0.0,19238.9878007181,25651.98373429213,,153,1,4.405592335388064e-09,0.0,0.0,0.0,inf,,8.36735125631094e-11,5.093170329928398e-11,,,,
2020-08-13,israel,,,0.0,19238.987800718176,25651.983734292116,,154,1,4.281901055946946e-09,0.0,0.0,0.0,inf,,7.639755494892597e-11,-1.4551915228366852e-11,,,,
2020-08-14,israel,,,0.0,19238.98780071825,25651.983734292156,,155,1,4.234607331454754e-09,0.0,0.0,0.0,inf,,7.275957614183426e-11,4.001776687800884e-11,,,,
2020-08-15,israel,,,0.0,19238.98780071832,25651.983734292255,,156,1,4.234607331454754e-09,0.0,0.0,0.0,inf,,7.275957614183426e-11,9.822542779147625e-11,,,,
