,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80796,+3,3169.0,,62843.0,14784,4257.0,56.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
1,Italy,15113,"+2,651",1016.0,189.0,1258.0,12839,1153.0,250.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
2,Iran,10075,"+1,075",429.0,75.0,3276.0,6370,,120.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
3,S. Korea,7869,+114,66.0,6.0,333.0,7470,93.0,153.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
4,Spain,3146,+869,86.0,31.0,189.0,2871,190.0,67.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
5,France,2876,+595,61.0,13.0,12.0,2803,129.0,44.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
6,Germany,2745,+779,6.0,3.0,25.0,2714,9.0,32.8,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
7,USA,1715,+414,41.0,3.0,30.0,1644,10.0,5.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
8,Switzerland,868,+216,7.0,3.0,4.0,857,,100.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
9,Norway,800,+171,1.0,1.0,1.0,798,,147.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
10,Diamond Princess,696,,7.0,,325.0,364,32.0,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
11,Japan,691,+52,19.0,4.0,118.0,554,29.0,5.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
12,Sweden,687,+187,1.0,,1.0,685,2.0,68.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
13,Denmark,674,+160,,,1.0,673,2.0,116.4,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
14,Netherlands,614,+111,5.0,,2.0,607,1.0,35.8,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
15,UK,590,+130,10.0,2.0,18.0,562,20.0,8.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
16,Belgium,399,+85,3.0,,1.0,395,2.0,34.4,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
17,Austria,361,+115,1.0,1.0,4.0,356,1.0,40.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
18,Qatar,262,,,,,262,,90.9,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
19,Bahrain,197,+2,,,35.0,162,1.0,115.8,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
20,Singapore,187,+9,,,96.0,91,12.0,32.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
21,Malaysia,158,+9,,,26.0,132,2.0,4.9,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
22,Australia,156,+28,3.0,,26.0,127,1.0,6.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
23,Canada,142,+32,1.0,,11.0,130,1.0,3.8,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
24,Hong Kong,130,,3.0,,77.0,50,6.0,17.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
25,Greece,117,+18,1.0,1.0,,116,2.0,11.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
26,Czechia,113,+19,,,,113,,10.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
27,Finland,109,+44,,,1.0,108,,19.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
28,Iceland,109,+24,,,,109,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
29,Israel,109,+12,,,4.0,105,2.0,12.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
30,Slovenia,96,+39,,,,96,,46.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
31,UAE,85,+11,,,20.0,65,2.0,8.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
32,Iraq,83,+12,8.0,1.0,24.0,51,,2.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
33,Egypt,80,+13,2.0,1.0,27.0,51,,0.8,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
34,Kuwait,80,+8,,,5.0,75,4.0,18.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
35,Portugal,78,+17,,,1.0,77,1.0,7.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
36,Brazil,77,+25,,,,77,2.0,0.4,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
37,India,74,+12,1.0,1.0,4.0,69,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
38,San Marino,72,+3,5.0,2.0,,67,3.0,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
39,Ireland,70,+27,1.0,,,69,6.0,14.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
40,Thailand,70,+11,1.0,,35.0,34,1.0,1.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
41,Lebanon,68,,3.0,1.0,1.0,64,3.0,10.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
42,Romania,59,+12,,,6.0,53,1.0,3.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
43,Philippines,52,+3,2.0,,2.0,48,1.0,0.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
44,Poland,51,+20,1.0,1.0,,50,3.0,1.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
45,Taiwan,49,+1,1.0,,20.0,28,,2.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
46,Saudi Arabia,45,,,,1.0,44,,1.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
47,Vietnam,39,,,,16.0,23,,0.4,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
48,Indonesia,34,,1.0,,3.0,30,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
49,Russia,34,+6,,,3.0,31,,0.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
50,Chile,33,+10,,,,33,,1.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
51,Palestine,31,+1,,,,31,,6.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
52,Argentina,30,+9,1.0,,,29,1.0,0.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
53,Croatia,27,+8,,,1.0,26,,6.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
54,Estonia,27,+11,,,,27,,20.4,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
55,Algeria,26,+6,2.0,2.0,10.0,14,,0.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
56,Luxembourg,26,+19,,,,26,1.0,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
57,Georgia,25,+1,,,,25,1.0,6.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
58,Brunei,25,+14,,,,25,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
59,Serbia,24,+6,,,,24,,2.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
60,Albania,23,+8,1.0,,,22,,8.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
61,Bulgaria,23,+16,1.0,,,22,,3.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
62,Costa Rica,23,+1,,,,23,1.0,4.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
63,Peru,22,+5,,,,22,,0.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
64,Belarus,21,+12,,,3.0,18,,2.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
65,Pakistan,21,+1,,,2.0,19,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
66,Slovakia,21,+11,,,,21,,3.8,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
67,Oman,18,,,,9.0,9,,3.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
68,Ecuador,17,,,,,17,1.0,1.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
69,South Africa,17,+4,,,,17,,0.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
70,Latvia,16,+6,,,1.0,15,,8.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
71,Hungary,16,+3,,,,16,,1.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
72,Azerbaijan,15,+4,1.0,1.0,3.0,11,,1.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
73,Panama,14,,1.0,,,13,,3.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
74,Tunisia,13,+6,,,,13,2.0,1.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
75,Mexico,12,+1,,,4.0,8,1.0,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
76,Bosnia and Herzegovina,11,+4,,,,11,,3.4,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
77,Macao,10,,,,10.0,0,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
78,Senegal,10,+6,,,1.0,9,,0.6,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
79,Cyprus,10,+4,,,,10,,8.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
80,North Macedonia,9,,,,1.0,8,,4.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
81,Colombia,9,,,,,9,,0.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
82,Malta,9,+2,,,,9,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
83,Maldives,8,,,,,8,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
84,Afghanistan,7,,,,,7,,0.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
85,Morocco,6,,1.0,,,5,1.0,0.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
86,Armenia,6,+5,,,,6,,2.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
87,French Guiana,6,,,,,6,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
88,Moldova,6,+3,,,,6,,1.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
89,Cambodia,5,,,,1.0,4,,0.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
90,Dominican Republic,5,,,,,5,,0.5,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
91,New Zealand,5,,,,,5,,1.0,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
92,Paraguay,5,,,,,5,1.0,0.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
93,Liechtenstein,4,+1,,,,4,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
94,Réunion,4,+3,,,,4,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
95,Lithuania,3,,,,,3,,1.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
96,Sri Lanka,3,+1,,,1.0,2,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
97,Ukraine,3,+2,,,,3,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
98,Bangladesh,3,,,,,3,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
99,Bolivia,3,+1,,,,3,,0.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
100,Channel Islands,3,+1,,,,3,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
101,Cuba,3,,,,,3,,0.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
102,Martinique,3,,,,,3,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
103,Nigeria,2,,,,,2,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
104,Burkina Faso,2,,,,,2,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
105,Cameroon,2,,,,,2,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
106,Faeroe Islands,2,,,,,2,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
107,Ghana,2,+2,,,,2,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
108,Honduras,2,,,,,2,,0.2,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
109,Jamaica,2,,,,,2,,0.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
110,Saint Martin,2,,,,,2,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
111,Guyana,1,+1,1.0,1.0,,0,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
112,Andorra,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
113,Jordan,1,,,,,1,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
114,Monaco,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
115,Nepal,1,,,,1.0,0,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
116,Bhutan,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
117,Ivory Coast,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
118,DRC,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
119,French Polynesia,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
120,Gibraltar,1,,,,1.0,0,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
121,Vatican City,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
122,Mongolia,1,,,,,1,,0.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
123,St. Barth,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
124,St. Vincent Grenadines,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
125,Togo,1,,,,,1,,0.1,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
126,Trinidad and Tobago,1,+1,,,,1,,0.7,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
127,Turkey,1,,,,,1,,,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
128,Total:,134558,8344,4971.0,343.0,68934.0,60653,5994.0,17.3,https://web.archive.org/web/20200312/https://www.worldometers.info/coronavirus/,2020-03-12
